OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,osm_id,code,fclass,name_1,type_1,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1
49,24,49,141,Nordeste,NA,Praia do Pontal,-9.682589999999999,-35.758536999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
50,24,50,142,Nordeste,NA,Salgema,-9.679629000000000,-35.718974000000003,NA,NA,NA,NA,NA,10000.000000000000000,50,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
51,24,51,143,Nordeste,NA,Pier do Emissario,-9.673301000000000,-35.715234000000002,NA,NA,NA,NA,NA,10000.000000000000000,51,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
52,24,52,144,Nordeste,NA,Praia do Sobral,-9.666869000000000,-35.710735000000000,NA,NA,NA,NA,NA,10000.000000000000000,52,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
53,24,53,145,Nordeste,NA,"Pico da Barra, Brazil",-9.665630000000000,-35.697186000000002,NA,NA,NA,NA,NA,10000.000000000000000,53,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
54,10,54,146,Nordeste,NA,Pedra Virada,-9.585521999999999,-35.660038000000000,NA,NA,NA,NA,NA,10000.000000000000000,54,187439007,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
55,0,55,147,Nordeste,NA,Praia de Jatiuca,-9.531449000000000,-35.590927999999998,NA,NA,NA,NA,NA,10000.000000000000000,55,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
56,0,56,148,Nordeste,NA,Garca Torta,-9.487114000000000,-35.557476999999999,NA,NA,NA,NA,NA,10000.000000000000000,56,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
57,0,57,149,Nordeste,NA,Mirante da Sirena,-9.430906000000000,-35.503683000000002,NA,NA,NA,NA,NA,10000.000000000000000,57,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
58,1,58,150,Nordeste,NA,Japaratinga,-9.261582000000001,-35.353366000000001,NA,NA,NA,NA,NA,10000.000000000000000,58,256396779,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
59,0,59,151,Nordeste,NA,Impossivel,-8.615505000000001,-35.020375000000001,NA,NA,NA,NA,NA,10000.000000000000000,59,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
60,1,60,152,Nordeste,NA,Serrambi,-8.576358000000001,-35.028714999999998,NA,NA,NA,NA,NA,10000.000000000000000,60,271471498,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
61,16,61,153,Nordeste,NA,Porto de Galinhas,-8.488678000000000,-34.999501000000002,NA,NA,NA,NA,NA,10000.000000000000000,61,271471498,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
62,16,62,154,Nordeste,NA,Cupe,-8.479708000000000,-34.996577000000002,NA,NA,NA,NA,NA,10000.000000000000000,62,271471498,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
63,2,63,155,Nordeste,NA,Gaibu,-8.341567000000000,-34.948825999999997,NA,NA,NA,NA,NA,10000.000000000000000,63,788549766,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
64,13,64,156,Nordeste,NA,Bessa,-7.091138000000000,-34.832765000000002,NA,NA,NA,NA,NA,10000.000000000000000,64,186954764,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
65,0,65,157,Nordeste,NA,Saji,-6.466880000000000,-34.970449000000002,NA,NA,NA,NA,NA,10000.000000000000000,65,,,,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
66,1,66,158,Nordeste,NA,Farol,-6.408908000000000,-34.979016999999999,NA,NA,NA,NA,NA,10000.000000000000000,66,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
67,1,67,159,Nordeste,NA,Xilauzinho,-6.395101000000000,-34.983204999999998,NA,NA,NA,NA,NA,10000.000000000000000,67,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
68,1,68,160,Nordeste,NA,Mar Aberto,-6.379758000000000,-34.989437000000002,NA,NA,NA,NA,NA,10000.000000000000000,68,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
69,1,69,161,Nordeste,NA,Pontal,-6.368680000000000,-34.993423999999997,NA,NA,NA,NA,NA,10000.000000000000000,69,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
70,1,70,162,Nordeste,NA,Mar da Frente,-6.365217000000000,-35.006211999999998,NA,NA,NA,NA,NA,10000.000000000000000,70,669996473,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
71,27,71,163,Nordeste,NA,Lajinha,-6.278960000000000,-35.033028000000002,NA,NA,NA,NA,NA,10000.000000000000000,71,731555905,1500,building,,,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
