OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Leng,Shape_Area,F2010,SLR_employ,F2010_1,F2010_12,F2010_12_1,F2010_12_2,F2010_12_3,F2010_12_4,F2010_12_5,F2010_12_6,F2010_12_7,F2010_12_8,Shape_Le_1,Shape_Ar_1
12,1,12,104,Nordeste,NA,Amaralina,-13.015369000000000,-38.471834000000001,NA,NA,NA,NA,NA,10000.000000000000000,12,2927408,Salvador,BA,"Sports, recreation and leisure activities",513.000000000000000,3860.000000000000000,0.000000000000000,0.000000000000000,2675656.000000000000000,0.001442636871107,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,62831.853071795863798,314159265.358979284763336
13,1,13,105,Nordeste,NA,Tubao,-13.010683999999999,-38.461410999999998,NA,NA,NA,NA,NA,10000.000000000000000,13,2927408,Salvador,BA,"Sports, recreation and leisure activities",513.000000000000000,3860.000000000000000,0.000000000000000,0.000000000000000,2675656.000000000000000,0.001442636871107,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,62831.853071795863798,314159265.358979284763336
14,1,14,106,Nordeste,NA,Psiu,-12.995919000000001,-38.439390000000003,NA,NA,NA,NA,NA,10000.000000000000000,14,2927408,Salvador,BA,"Sports, recreation and leisure activities",513.000000000000000,3860.000000000000000,0.000000000000000,0.000000000000000,2675656.000000000000000,0.001442636871107,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,62831.853071795863798,314159265.358979284763336
15,1,15,107,Nordeste,NA,Alex,-12.973279000000000,-38.406477000000002,NA,NA,NA,NA,NA,10000.000000000000000,15,2927408,Salvador,BA,"Sports, recreation and leisure activities",513.000000000000000,3860.000000000000000,0.000000000000000,0.000000000000000,2675656.000000000000000,0.001442636871107,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,62831.853071795863798,314159265.358979284763336
16,2,16,108,Nordeste,NA,Terceira Ponte,-12.963839999999999,-38.396822000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,2919207,Lauro de Freitas,BA,"Sports, recreation and leisure activities",69.000000000000000,408.000000000000000,0.000000000000000,0.000000000000000,163449.000000000000000,0.002496191472569,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,62831.853071795863798,314159265.358979284763336
17,2,17,109,Nordeste,NA,SESC,-12.960485000000000,-38.390998000000003,NA,NA,NA,NA,NA,10000.000000000000000,17,2919207,Lauro de Freitas,BA,"Sports, recreation and leisure activities",69.000000000000000,408.000000000000000,0.000000000000000,0.000000000000000,163449.000000000000000,0.002496191472569,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,62831.853071795863798,314159265.358979284763336
18,2,18,110,Nordeste,NA,Farol,-12.958147000000000,-38.352812999999998,NA,NA,NA,NA,NA,10000.000000000000000,18,2919207,Lauro de Freitas,BA,"Sports, recreation and leisure activities",69.000000000000000,408.000000000000000,0.000000000000000,0.000000000000000,163449.000000000000000,0.002496191472569,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,62831.853071795863798,314159265.358979284763336
19,2,19,111,Nordeste,NA,Pedro do Sal,-12.954224000000000,-38.347234000000000,NA,NA,NA,NA,NA,10000.000000000000000,19,2919207,Lauro de Freitas,BA,"Sports, recreation and leisure activities",69.000000000000000,408.000000000000000,0.000000000000000,0.000000000000000,163449.000000000000000,0.002496191472569,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,62831.853071795863798,314159265.358979284763336
20,3,20,112,Nordeste,NA,Itapoa,-12.952339000000000,-38.369608999999997,NA,NA,NA,NA,NA,10000.000000000000000,20,2919207,Lauro de Freitas,BA,"Sports, recreation and leisure activities",69.000000000000000,408.000000000000000,0.000000000000000,0.000000000000000,163449.000000000000000,0.002496191472569,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,62831.853071795863798,314159265.358979284763336
21,2,21,113,Nordeste,NA,Seper,-12.952040999999999,-38.343243999999999,NA,NA,NA,NA,NA,10000.000000000000000,21,2919207,Lauro de Freitas,BA,"Sports, recreation and leisure activities",69.000000000000000,408.000000000000000,0.000000000000000,0.000000000000000,163449.000000000000000,0.002496191472569,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,163449.000000000000000,62831.853071795863798,314159265.358979284763336
