OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Polygon_Count,protected_percent_area
17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,17,6283.185307179585834,3141592.653589793015271,1.214281227273520,1,0.386517719248548
18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,18,6283.185307179585834,3141592.653589793015271,1.580014147236090,1,0.502934123375499
19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,19,6283.185307179585834,3141592.653589793015271,2.575941780261363,2,0.819947734891065
20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,20,6283.185307179585834,3141592.653589793015271,1.035640990473950,1,0.329654765805032
21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,21,6283.185307179585834,3141592.653589793015271,0.000000000000000,0,0.000000000000000
22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,22,6283.185307179585834,3141592.653589793015271,1.586432542589000,1,0.504977162069767
23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,23,6283.185307179585834,3141592.653589793015271,1.766390067706220,1,0.562259421407746
24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,24,6283.185307179585834,3141592.653589793015271,0.000000000000000,0,0.000000000000000
25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,25,6283.185307179585834,3141592.653589793015271,0.000000000000000,0,0.000000000000000
26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,26,6283.185307179585834,3141592.653589793015271,1.876939643248280,2,0.597448444216205
27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,27,6283.185307179585834,3141592.653589793015271,4.051893883923237,3,1.289757881020405
28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,28,6283.185307179585834,3141592.653589793015271,1.884683711482030,1,0.599913457694290
29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,29,6283.185307179585834,3141592.653589793015271,1.566120836035978,2,0.498511745068676
30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,30,6283.185307179585834,3141592.653589793015271,2.214829038611907,3,0.705001979197112
31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,31,6283.185307179585834,3141592.653589793015271,2.328822679657166,2,0.741287282103905
32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,32,6283.185307179585834,3141592.653589793015271,1.820798817275527,3,0.579578264290555
33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,33,6283.185307179585834,3141592.653589793015271,1.383225328525328,2,0.440294296889435
34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,34,6283.185307179585834,3141592.653589793015271,1.284213265430294,3,0.408777778354830
35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,35,6283.185307179585834,3141592.653589793015271,1.816895994069817,2,0.578335957080150
36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,36,6283.185307179585834,3141592.653589793015271,1.809121634608856,2,0.575861301604980
37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,37,6283.185307179585834,3141592.653589793015271,1.707700955710019,2,0.543578096848008
38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,38,6283.185307179585834,3141592.653589793015271,1.260462518481538,2,0.401217680796794
39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,39,6283.185307179585834,3141592.653589793015271,1.693872336693910,1,0.539176310702911
40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,40,6283.185307179585834,3141592.653589793015271,1.230722164435049,2,0.391751032085190
