OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,Shape_Leng,Shape_Area,pop_change,Shape_Le_1,Shape_Ar_1
11,1,11,103,Nordeste,NA,Meridien,-13.016598000000000,-38.484878999999999,NA,NA,NA,NA,NA,10000.000000000000000,11,2927408,Salvador,BA,693.452999999999975,1007195.000000000000000,1502013.000000000000000,2075273.000000000000000,2443107.000000000000000,2675656.000000000000000,0.000000000000000,0.000000000000000,232549.000000000000000,62831.853071795863798,314159265.358979284763336
12,1,12,104,Nordeste,NA,Amaralina,-13.015369000000000,-38.471834000000001,NA,NA,NA,NA,NA,10000.000000000000000,12,2927408,Salvador,BA,693.452999999999975,1007195.000000000000000,1502013.000000000000000,2075273.000000000000000,2443107.000000000000000,2675656.000000000000000,0.000000000000000,0.000000000000000,232549.000000000000000,62831.853071795863798,314159265.358979284763336
13,1,13,105,Nordeste,NA,Tubao,-13.010683999999999,-38.461410999999998,NA,NA,NA,NA,NA,10000.000000000000000,13,2927408,Salvador,BA,693.452999999999975,1007195.000000000000000,1502013.000000000000000,2075273.000000000000000,2443107.000000000000000,2675656.000000000000000,0.000000000000000,0.000000000000000,232549.000000000000000,62831.853071795863798,314159265.358979284763336
14,1,14,106,Nordeste,NA,Psiu,-12.995919000000001,-38.439390000000003,NA,NA,NA,NA,NA,10000.000000000000000,14,2927408,Salvador,BA,693.452999999999975,1007195.000000000000000,1502013.000000000000000,2075273.000000000000000,2443107.000000000000000,2675656.000000000000000,0.000000000000000,0.000000000000000,232549.000000000000000,62831.853071795863798,314159265.358979284763336
15,1,15,107,Nordeste,NA,Alex,-12.973279000000000,-38.406477000000002,NA,NA,NA,NA,NA,10000.000000000000000,15,2927408,Salvador,BA,693.452999999999975,1007195.000000000000000,1502013.000000000000000,2075273.000000000000000,2443107.000000000000000,2675656.000000000000000,0.000000000000000,0.000000000000000,232549.000000000000000,62831.853071795863798,314159265.358979284763336
16,2,16,108,Nordeste,NA,Terceira Ponte,-12.963839999999999,-38.396822000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,2919207,Lauro de Freitas,BA,58.042999999999999,10007.000000000000000,35431.000000000000000,69270.000000000000000,113543.000000000000000,163449.000000000000000,0.000000000000000,0.000000000000000,49906.000000000000000,62831.853071795863798,314159265.358979284763336
17,2,17,109,Nordeste,NA,SESC,-12.960485000000000,-38.390998000000003,NA,NA,NA,NA,NA,10000.000000000000000,17,2919207,Lauro de Freitas,BA,58.042999999999999,10007.000000000000000,35431.000000000000000,69270.000000000000000,113543.000000000000000,163449.000000000000000,0.000000000000000,0.000000000000000,49906.000000000000000,62831.853071795863798,314159265.358979284763336
18,2,18,110,Nordeste,NA,Farol,-12.958147000000000,-38.352812999999998,NA,NA,NA,NA,NA,10000.000000000000000,18,2919207,Lauro de Freitas,BA,58.042999999999999,10007.000000000000000,35431.000000000000000,69270.000000000000000,113543.000000000000000,163449.000000000000000,0.000000000000000,0.000000000000000,49906.000000000000000,62831.853071795863798,314159265.358979284763336
19,2,19,111,Nordeste,NA,Pedro do Sal,-12.954224000000000,-38.347234000000000,NA,NA,NA,NA,NA,10000.000000000000000,19,2919207,Lauro de Freitas,BA,58.042999999999999,10007.000000000000000,35431.000000000000000,69270.000000000000000,113543.000000000000000,163449.000000000000000,0.000000000000000,0.000000000000000,49906.000000000000000,62831.853071795863798,314159265.358979284763336
20,3,20,112,Nordeste,NA,Itapoa,-12.952339000000000,-38.369608999999997,NA,NA,NA,NA,NA,10000.000000000000000,20,2919207,Lauro de Freitas,BA,58.042999999999999,10007.000000000000000,35431.000000000000000,69270.000000000000000,113543.000000000000000,163449.000000000000000,0.000000000000000,0.000000000000000,49906.000000000000000,62831.853071795863798,314159265.358979284763336
