OBJECTID,OBJECTID_1,COUNT,AREA,MEAN
55,55,132.000000000000000,166834204.993903249502182,0.681746194760005
56,56,128.000000000000000,161778623.024391025304794,0.706279630539939
57,57,139.000000000000000,175681473.440549641847610,0.466545414581573
58,58,62.000000000000000,78361520.527439400553703,0.584846744854604
59,59,129.000000000000000,163042518.516769081354141,0.751375326814578
60,60,140.000000000000000,176945368.932927697896957,0.752509850689343
61,61,122.000000000000000,154195250.070122689008713,0.621511250734329
62,62,118.000000000000000,149139668.100610464811325,0.628957666582980
63,63,142.000000000000000,179473159.917683780193329,0.568169233979474
64,64,117.000000000000000,147875772.608232408761978,0.543688425268882
65,65,47.000000000000000,59403088.141768582165241,0.584794197310793
66,66,127.000000000000000,160514727.532012969255447,0.593566589233444
67,67,111.000000000000000,140292399.653964102268219,0.525569431685113
68,68,140.000000000000000,176945368.932927697896957,0.501181711682252
69,69,129.000000000000000,163042518.516769081354141,0.547282931185508
70,70,157.000000000000000,198431592.303354620933533,0.535756198463926
71,71,105.000000000000000,132709026.699695765972137,0.531441940154348
72,72,130.000000000000000,164306414.009147137403488,0.497231680498673
73,73,130.000000000000000,164306414.009147137403488,0.499729150189803
74,74,128.000000000000000,161778623.024391025304794,0.500999999814667
75,75,117.000000000000000,147875772.608232408761978,0.543221081041882
76,76,124.000000000000000,156723041.054878801107407,0.618013203144073
77,77,123.000000000000000,155459145.562500745058060,0.625045293472647
78,78,121.000000000000000,152931354.577744632959366,0.644111507933987
79,79,128.000000000000000,161778623.024391025304794,0.681859372882172
80,80,138.000000000000000,174417577.948171585798264,0.734106015899907
81,81,117.000000000000000,147875772.608232408761978,0.761013921000000
82,82,115.000000000000000,145347981.623476326465607,0.772229972870454
83,83,116.000000000000000,146611877.115854352712631,0.764803565524775
84,84,122.000000000000000,154195250.070122689008713,0.711243235674061
85,85,117.000000000000000,147875772.608232408761978,0.580652372959333
86,86,118.000000000000000,149139668.100610464811325,0.574809169870312
87,87,155.000000000000000,195903801.318598508834839,0.458017576702179
88,88,161.000000000000000,203487174.272866845130920,0.438042739348382
89,89,118.000000000000000,149139668.100610464811325,0.265790912906750
90,90,127.000000000000000,160514727.532012969255447,0.288559163649251
91,91,125.000000000000000,157986936.547256857156754,0.438556789636612
92,92,118.000000000000000,149139668.100610464811325,0.457251875203545
93,93,116.000000000000000,146611877.115854352712631,0.462627877063792
94,94,110.000000000000000,139028504.161586046218872,0.474271136793223
95,95,108.000000000000000,136500713.176829934120178,0.480432533003666
96,96,131.000000000000000,165570309.501525193452835,0.335889899264310
97,97,127.000000000000000,160514727.532012969255447,0.203124401929576
98,98,123.000000000000000,155459145.562500745058060,0.241472503518671
99,99,115.000000000000000,145347981.623476326465607,0.254787724108800
100,100,68.000000000000000,85944893.481707736849785,0.813859691076419
101,101,70.000000000000000,88472684.466463848948479,0.809342458844185
102,102,76.000000000000000,96056057.420732170343399,0.798178597500450
103,103,81.000000000000000,102375534.882622450590134,0.799326451840224
104,104,110.000000000000000,139028504.161586046218872,0.790398695523089
105,105,137.000000000000000,173153682.455793529748917,0.769598741818519
106,106,144.000000000000000,182000950.902439892292023,0.755317345468534
