OBJECTID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Length
24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,10000.000000000000000,24,62831.853071795863798,314159265.358979284763336,1779.875073869600101
25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,10000.000000000000000,25,62831.853071795863798,314159265.358979284763336,1951.465417636989969
26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,10000.000000000000000,26,62831.853071795863798,314159265.358979284763336,526.673524719388979
27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,10000.000000000000000,27,62831.853071795863798,314159265.358979284763336,333.321810244908988
28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,10000.000000000000000,28,62831.853071795863798,314159265.358979284763336,409.071982554614010
29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,10000.000000000000000,29,62831.853071795863798,314159265.358979284763336,192.637730630443002
30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,10000.000000000000000,30,62831.853071795863798,314159265.358979284763336,214.281312517408992
31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,10000.000000000000000,31,62831.853071795863798,314159265.358979284763336,297.004727453850990
32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,10000.000000000000000,32,62831.853071795863798,314159265.358979284763336,207.348317934058997
33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,10000.000000000000000,33,62831.853071795863798,314159265.358979284763336,226.676050004341988
34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,10000.000000000000000,34,62831.853071795863798,314159265.358979284763336,225.375220816380988
35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,10000.000000000000000,35,62831.853071795863798,314159265.358979284763336,214.946183754913989
36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,10000.000000000000000,36,62831.853071795863798,314159265.358979284763336,231.028926158815011
37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,10000.000000000000000,37,62831.853071795863798,314159265.358979284763336,194.224152630736995
38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,10000.000000000000000,38,62831.853071795863798,314159265.358979284763336,199.869711393865003
39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,10000.000000000000000,39,62831.853071795863798,314159265.358979284763336,208.564373797676012
40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,10000.000000000000000,40,62831.853071795863798,314159265.358979284763336,307.569447149791984
