OBJECTID,Name,Surf_Spot,Shape_Leng,Shape_Area,SUM_Area_S
93,Pedra da Cachorra, ,62831.853071795863798,314159265.358979284763336,0.159759650142824
94,Jardim Atlantico, ,62831.853071795863798,314159265.358979284763336,0.161552124461435
95,Baduska, ,62831.853071795863798,314159265.358979284763336,0.186257733387363
96,Norte, ,62831.853071795863798,314159265.358979284763336,0.064886828278684
97,Havaizinho, ,62831.853071795863798,314159265.358979284763336,0.000800444503648
98,Sao Jose, ,62831.853071795863798,314159265.358979284763336,0.000412467214392
99,Corals, ,62831.853071795863798,314159265.358979284763336,0.000555461634285
100,Tony, ,62831.853071795863798,314159265.358979284763336,5.896283138818860
101,Meridien, ,62831.853071795863798,314159265.358979284763336,5.901724608053650
102,Amaralina, ,62831.853071795863798,314159265.358979284763336,5.895004775853900
103,Tubao, ,62831.853071795863798,314159265.358979284763336,6.298015697761860
104,Psiu, ,62831.853071795863798,314159265.358979284763336,7.222619135391810
105,Alex, ,62831.853071795863798,314159265.358979284763336,5.024563904209710
106,Terceira Ponte, ,62831.853071795863798,314159265.358979284763336,4.907250250550090
107,SESC, ,62831.853071795863798,314159265.358979284763336,4.664978532868410
108,Farol, ,62831.853071795863798,314159265.358979284763336,2.122079982580750
109,Pedro do Sal, ,62831.853071795863798,314159265.358979284763336,1.978184182185530
110,Itapoa, ,62831.853071795863798,314159265.358979284763336,2.760182047497830
111,Seper, ,62831.853071795863798,314159265.358979284763336,1.850761342495550
112,Corrente, ,62831.853071795863798,314159265.358979284763336,1.723510801242920
113,Stela Maris, ,62831.853071795863798,314159265.358979284763336,1.677540016263120
114,Plator, ,62831.853071795863798,314159265.358979284763336,1.639167811170140
115,Aleluia, ,62831.853071795863798,314159265.358979284763336,1.339896562209820
116,Ipitanga, ,62831.853071795863798,314159265.358979284763336,1.314473752708130
117,Vilas, ,62831.853071795863798,314159265.358979284763336,1.206864109570800
118,Busca Vida, ,62831.853071795863798,314159265.358979284763336,0.573903837932143
119,Itacimirim, ,62831.853071795863798,314159265.358979284763336,0.208751190423340
120,Praia do Forte, ,62831.853071795863798,314159265.358979284763336,0.128262651732902
121,Imbassai, ,62831.853071795863798,314159265.358979284763336,0.000357280866776
122,Costa do Sauipe, ,62831.853071795863798,314159265.358979284763336,0.000000000000000
123,Marlin, ,62831.853071795863798,314159265.358979284763336,0.000000000000000
124,Conde, ,62831.853071795863798,314159265.358979284763336,0.001119831919958
125,Mangue Seco, ,62831.853071795863798,314159265.358979284763336,0.000552470755724
126,Mosqueiro, ,62831.853071795863798,314159265.358979284763336,0.002834187029816
127,Aruana, ,62831.853071795863798,314159265.358979284763336,0.430935012374750
128,Hawaiizinho, ,62831.853071795863798,314159265.358979284763336,0.730599302554141
129,Praia do Meio, ,62831.853071795863798,314159265.358979284763336,2.026585655258680
130,Pirambu, ,62831.853071795863798,314159265.358979284763336,0.010951121306780
131,Ponta do Mangue, ,62831.853071795863798,314159265.358979284763336,0.010607682770943
132,Pontal de Peba, ,62831.853071795863798,314159265.358979284763336,0.000356553967185
133,Mihai, ,62831.853071795863798,314159265.358979284763336,0.007867473765628
134,Pontal do Coruripe, ,62831.853071795863798,314159265.358979284763336,0.007867473765628
135,Forjos, ,62831.853071795863798,314159265.358979284763336,0.009590597321601
136,Poxim, ,62831.853071795863798,314159265.358979284763336,0.014841077446936
137,Jacarecica, ,62831.853071795863798,314159265.358979284763336,0.014310059026725
138,Praia do Meio, ,62831.853071795863798,314159265.358979284763336,0.080034675867866
139,Praia do Pontal, ,62831.853071795863798,314159265.358979284763336,2.112060138929280
140,Salgema, ,62831.853071795863798,314159265.358979284763336,1.985707256642570
141,Pier do Emissario, ,62831.853071795863798,314159265.358979284763336,2.055977694589780
142,Praia do Sobral, ,62831.853071795863798,314159265.358979284763336,2.085036194642790
143,"Pico da Barra, Brazil", ,62831.853071795863798,314159265.358979284763336,2.019439287498020
144,Pedra Virada, ,62831.853071795863798,314159265.358979284763336,1.586536617161700
145,Praia de Jatiuca, ,62831.853071795863798,314159265.358979284763336,0.012031327017530
146,Garca Torta, ,62831.853071795863798,314159265.358979284763336,0.025464953391132
147,Mirante da Sirena, ,62831.853071795863798,314159265.358979284763336,0.023665074014421
148,Japaratinga, ,62831.853071795863798,314159265.358979284763336,0.056480284284605
149,Impossivel, ,62831.853071795863798,314159265.358979284763336,0.429069542113615
150,Serrambi, ,62831.853071795863798,314159265.358979284763336,0.848048783860251
151,Porto de Galinhas, ,62831.853071795863798,314159265.358979284763336,1.087698257758730
152,Cupe, ,62831.853071795863798,314159265.358979284763336,1.225863626417640
153,Gaibu, ,62831.853071795863798,314159265.358979284763336,1.796692171280760
154,Bessa, ,62831.853071795863798,314159265.358979284763336,6.126048066781580
155,Saji, ,62831.853071795863798,314159265.358979284763336,0.040863019301973
156,Farol, ,62831.853071795863798,314159265.358979284763336,0.062159274323271
157,Xilauzinho, ,62831.853071795863798,314159265.358979284763336,0.050177156321422
158,Mar Aberto, ,62831.853071795863798,314159265.358979284763336,0.049438349086883
159,Pontal, ,62831.853071795863798,314159265.358979284763336,0.028071441761111
160,Mar da Frente, ,62831.853071795863798,314159265.358979284763336,0.032602193255027
161,Lajinha, ,62831.853071795863798,314159265.358979284763336,0.142720789286077
162,Afogados, ,62831.853071795863798,314159265.358979284763336,0.176164408230400
163,Sororoca, ,62831.853071795863798,314159265.358979284763336,0.174456048061945
164,Abacateiro, ,62831.853071795863798,314159265.358979284763336,0.174456048061945
165,Tibau do Sul, ,62831.853071795863798,314159265.358979284763336,0.284364556095866
166,Tabatinga, ,62831.853071795863798,314159265.358979284763336,0.387327111978664
167,Xoxoline, ,62831.853071795863798,314159265.358979284763336,0.282819920541328
168,Pirangi Reef, ,62831.853071795863798,314159265.358979284763336,0.234695009715080
169,Cotovelo, ,62831.853071795863798,314159265.358979284763336,0.788821629769321
170,Miami, ,62831.853071795863798,314159265.358979284763336,4.442159583692260
171,Areia Preta, ,62831.853071795863798,314159265.358979284763336,4.417450651663770
172,Praia dos Artistas, ,62831.853071795863798,314159265.358979284763336,4.210026976756270
173,Genipabu, ,62831.853071795863798,314159265.358979284763336,0.824208942127619
