OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,Shape_Leng,Shape_Area,pop_change,Shape_Le_1,Shape_Ar_1
11,2,11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,10000.000000000000000,11,3520301,Iguape,SP,1978.795000000000073,19211.000000000000000,23363.000000000000000,27937.000000000000000,27427.000000000000000,28841.000000000000000,0.000000000000000,0.000000000000000,1414.000000000000000,62831.853071795863798,314159265.358979284763336
12,2,12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,10000.000000000000000,12,3523305,Itariri,SP,273.666999999999973,7315.000000000000000,9448.000000000000000,11608.000000000000000,13858.000000000000000,15471.000000000000000,0.000000000000000,0.000000000000000,1613.000000000000000,62831.853071795863798,314159265.358979284763336
13,1,13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,10000.000000000000000,13,3522109,Itanhaém,SP,601.711000000000013,14515.000000000000000,27464.000000000000000,46074.000000000000000,71995.000000000000000,87057.000000000000000,0.000000000000000,0.000000000000000,15062.000000000000000,62831.853071795863798,314159265.358979284763336
14,2,14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,10000.000000000000000,14,3522109,Itanhaém,SP,601.711000000000013,14515.000000000000000,27464.000000000000000,46074.000000000000000,71995.000000000000000,87057.000000000000000,0.000000000000000,0.000000000000000,15062.000000000000000,62831.853071795863798,314159265.358979284763336
15,2,15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,10000.000000000000000,15,3541000,Praia Grande,SP,149.651999999999987,19694.000000000000000,66004.000000000000000,123492.000000000000000,193582.000000000000000,262051.000000000000000,0.000000000000000,0.000000000000000,68469.000000000000000,62831.853071795863798,314159265.358979284763336
16,2,16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,10000.000000000000000,16,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,0.000000000000000,0.000000000000000,25940.000000000000000,62831.853071795863798,314159265.358979284763336
17,2,17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,10000.000000000000000,17,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,0.000000000000000,0.000000000000000,25940.000000000000000,62831.853071795863798,314159265.358979284763336
18,4,18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,10000.000000000000000,18,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,0.000000000000000,0.000000000000000,25940.000000000000000,62831.853071795863798,314159265.358979284763336
19,4,19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,10000.000000000000000,19,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,0.000000000000000,0.000000000000000,25940.000000000000000,62831.853071795863798,314159265.358979284763336
20,4,20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,10000.000000000000000,20,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,0.000000000000000,0.000000000000000,25940.000000000000000,62831.853071795863798,314159265.358979284763336
