OBJECTID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,ramsar_per
153,Gaibu,-8.341567000000000,-34.948825999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,152,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
154,Bessa,-7.091138000000000,-34.832765000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,153,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
155,Saji,-6.466880000000000,-34.970449000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,154,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
156,Farol,-6.408908000000000,-34.979016999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,155,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
157,Xilauzinho,-6.395101000000000,-34.983204999999998, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,156,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
158,Mar Aberto,-6.379758000000000,-34.989437000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,157,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
159,Pontal,-6.368680000000000,-34.993423999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,158,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
160,Mar da Frente,-6.365217000000000,-35.006211999999998, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,159,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
161,Lajinha,-6.278960000000000,-35.033028000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,160,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
162,Afogados,-6.244350000000000,-35.036464000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,161,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
163,Sororoca,-6.238074000000000,-35.035608000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,162,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
164,Abacateiro,-6.233891000000000,-35.036746999999998, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,163,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
165,Tibau do Sul,-6.180279000000000,-35.089708999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,164,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
166,Tabatinga,-6.049479000000000,-35.108238000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,165,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
