OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Polygon_Count,protected_atl_forest_area
27,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,10000.000000000000000,27,62831.853071795863798,314159265.358979284763336,74.585366001191403,1,0.237412593628156
28,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,10000.000000000000000,28,62831.853071795863798,314159265.358979284763336,70.465247673059196,1,0.224297849667241
29,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,10000.000000000000000,29,62831.853071795863798,314159265.358979284763336,71.113611709310106,1,0.226361656493088
30,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,10000.000000000000000,30,62831.853071795863798,314159265.358979284763336,50.686167152532398,1,0.161339080974152
31,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,31,62831.853071795863798,314159265.358979284763336,107.743320588220996,1,0.342957641135003
32,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,32,62831.853071795863798,314159265.358979284763336,103.673300354751007,1,0.330002364362188
33,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,33,62831.853071795863798,314159265.358979284763336,90.475582151881895,1,0.287992722571778
34,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,NA,NA,NA,NA,NA,10000.000000000000000,34,62831.853071795863798,314159265.358979284763336,109.740656289295003,1,0.349315358131800
35,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,NA,NA,NA,NA,NA,10000.000000000000000,35,62831.853071795863798,314159265.358979284763336,106.026897919299003,1,0.337494098091125
36,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,NA,NA,NA,NA,NA,10000.000000000000000,36,62831.853071795863798,314159265.358979284763336,145.966852253197004,1,0.464626921273214
37,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,NA,NA,NA,NA,NA,10000.000000000000000,37,62831.853071795863798,314159265.358979284763336,127.995325327862005,1,0.407421774371691
38,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,NA,NA,NA,NA,NA,10000.000000000000000,38,62831.853071795863798,314159265.358979284763336,55.669055154575702,1,0.177200106102122
39,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,NA,NA,NA,NA,NA,10000.000000000000000,39,62831.853071795863798,314159265.358979284763336,54.026529941095703,1,0.171971785964554
40,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,NA,NA,NA,NA,NA,10000.000000000000000,40,62831.853071795863798,314159265.358979284763336,60.875221862459497,1,0.193771849424525
41,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,NA,NA,NA,NA,NA,10000.000000000000000,41,62831.853071795863798,314159265.358979284763336,41.554110443934199,1,0.132270841658774
42,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,NA,NA,NA,NA,NA,10000.000000000000000,42,62831.853071795863798,314159265.358979284763336,10.316796178005800,1,0.032839382172024
43,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,NA,NA,NA,NA,NA,10000.000000000000000,43,62831.853071795863798,314159265.358979284763336,12.989357495550101,1,0.041346409060091
44,52,Sudeste,NA,Sao Conrado,-23.000617999999999,-43.264187000000000,NA,NA,NA,NA,NA,10000.000000000000000,44,62831.853071795863798,314159265.358979284763336,36.684681678653099,1,0.116770968498207
45,53,Sudeste,NA,Bambui,-22.975255000000001,-42.916570000000000,NA,NA,NA,NA,NA,10000.000000000000000,45,62831.853071795863798,314159265.358979284763336,20.706314395829899,1,0.065910245786224
46,54,Sudeste,NA,Itaipuacu,-22.971149000000000,-43.011260000000000,NA,NA,NA,NA,NA,10000.000000000000000,46,62831.853071795863798,314159265.358979284763336,42.505750615187303,1,0.135300006404769
47,55,Sudeste,NA,Barra de Marica,-22.962100000000000,-42.809486999999997,NA,NA,NA,NA,NA,10000.000000000000000,47,62831.853071795863798,314159265.358979284763336,13.793531270168000,1,0.043906173686797
48,56,Sudeste,NA,Camboinhas,-22.961998000000001,-43.059922999999998,NA,NA,NA,NA,NA,10000.000000000000000,48,62831.853071795863798,314159265.358979284763336,37.487741479888001,1,0.119327187237505
49,57,Sudeste,NA,Pirantininga,-22.955044999999998,-43.088653999999998,NA,NA,NA,NA,NA,10000.000000000000000,49,62831.853071795863798,314159265.358979284763336,28.947727219391499,1,0.092143477564839
50,58,Sudeste,NA,Jacone,-22.946556000000001,-42.679789000000000,NA,NA,NA,NA,NA,10000.000000000000000,50,62831.853071795863798,314159265.358979284763336,65.255600192178207,1,0.207715026700272
51,59,Sudeste,NA,Figueira,-22.944991999999999,-42.188828000000001,NA,NA,NA,NA,NA,10000.000000000000000,51,62831.853071795863798,314159265.358979284763336,21.237664048522500,1,0.067601584260948
