OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,ogc_fid,idi_tuaria,idseq,cdi_tuaria,nome,tipo,cdbigrama,cdtrigrama,cdterminal,situacao,gestao,modalidade,companhia,cnpj,legislacao,pro_didade,endereco,com_emento,numero,bairro,cep,idcidade,cidade,idestado,estado,idr_rafica,reg_rafica,loc_izacao,latitude,longitude,observacao,fonte,cdc_troide,Shape_Length,Shape_Area
23,0,23,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,10000.000000000000000,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
24,0,24,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,10000.000000000000000,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
25,0,25,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,10000.000000000000000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
26,0,26,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,10000.000000000000000,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
27,0,27,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,10000.000000000000000,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
28,0,28,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,10000.000000000000000,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
29,0,29,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,10000.000000000000000,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
30,0,30,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,10000.000000000000000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
31,0,31,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
32,1,32,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,32,919,300535.000000000000000,0.000000000000000,BRSP026,Terminal Maratimo Comodoro Magalhdes,Registereded Support Facility,BR,BRS,BRSP026,In operation,Privada,Registro - Instala Fo de apoio,COMPANHIA MUNICIPAL DE TURISMO - COMTUR,66736018000164,Res. 6518/2018,0.000000000000000,Av. Leovegildo Dias Vieira, ,1470.000000000000000,Itague,11680000,3555406, , , ,0.000000000000000, , ,-23.455,-45.058, ,Antaq, ,62831.853071795863798,314159265.358979284763336
33,1,33,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,33,919,300535.000000000000000,0.000000000000000,BRSP026,Terminal Maratimo Comodoro Magalhdes,Registereded Support Facility,BR,BRS,BRSP026,In operation,Privada,Registro - Instala Fo de apoio,COMPANHIA MUNICIPAL DE TURISMO - COMTUR,66736018000164,Res. 6518/2018,0.000000000000000,Av. Leovegildo Dias Vieira, ,1470.000000000000000,Itague,11680000,3555406, , , ,0.000000000000000, , ,-23.455,-45.058, ,Antaq, ,62831.853071795863798,314159265.358979284763336
