OBJECTID,Join_Count,TARGET_FID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Leng,Shape_Area,F2010,SLR_employ,F2010_1,F2010_12,Shape_Le_1,Shape_Ar_1
11,2,11,Peruibe,-24.324427000000000,-46.978886000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,10,3523305,Itariri,SP,"Sports, recreation and leisure activities",1.000000000000000,0.000000000000000,104328.731159216156811,328649399.644323229789734,15471.000000000000000,0.000552088735717,15471.000000000000000,15471.000000000000000,62831.853071795863798,314159265.358979284763336
12,1,12,Praia dos Pescadores,-24.194862000000001,-46.798881999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,11,3522109,Itanhaém,SP,"Sports, recreation and leisure activities",24.000000000000000,97.000000000000000,174121.336961891793180,720348369.871413707733154,87057.000000000000000,0.001114212527425,87057.000000000000000,87057.000000000000000,62831.853071795863798,314159265.358979284763336
13,2,13,Itanhaem,-24.151427000000002,-46.707858000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,12,3522109,Itanhaém,SP,"Sports, recreation and leisure activities",24.000000000000000,97.000000000000000,174121.336961891793180,720348369.871413707733154,87057.000000000000000,0.000557106263712,87057.000000000000000,87057.000000000000000,62831.853071795863798,314159265.358979284763336
14,2,14,Praia Grande,-24.028497000000002,-46.438310000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,13,3541000,Praia Grande,SP,"Sports, recreation and leisure activities",85.000000000000000,273.000000000000000,87910.935457678569946,178944809.943888038396835,262051.000000000000000,0.001026237720691,262051.000000000000000,262051.000000000000000,62831.853071795863798,314159265.358979284763336
15,2,15,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,14,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,118586.908537797920872,172964756.707564502954483,290752.000000000000000,0.003193935380208,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
16,2,16,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,15,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,118586.908537797920872,172964756.707564502954483,290752.000000000000000,0.003193935380208,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
17,4,17,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,16,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,118586.908537797920872,172964756.707564502954483,290752.000000000000000,0.002110086550449,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
18,4,18,Itaipu,-24.019545000000001,-46.386795999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,17,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,118586.908537797920872,172964756.707564502954483,290752.000000000000000,0.002110086550449,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
19,4,19,Guaiuba,-24.017081999999998,-46.295202000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,18,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,118586.908537797920872,172964756.707564502954483,290752.000000000000000,0.002110086550449,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
20,4,20,Santos,-24.015000000000001,-46.353999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,19,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,118586.908537797920872,172964756.707564502954483,290752.000000000000000,0.002110086550449,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
21,2,21,Morro do Maluf,-23.997560000000000,-46.251593999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,20,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,118586.908537797920872,172964756.707564502954483,290752.000000000000000,0.003193935380208,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
22,2,22,Praia da Enseada,-23.990651000000000,-46.209406000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,21,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,118586.908537797920872,172964756.707564502954483,290752.000000000000000,0.003193935380208,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
23,5,23,Embare,-23.980865999999999,-46.317684000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,22,3513504,Cubatão,SP,"Sports, recreation and leisure activities",29.000000000000000,90.000000000000000,81265.972325418348191,170453243.701563954353333,118720.000000000000000,0.001839686491033,118720.000000000000000,118720.000000000000000,62831.853071795863798,314159265.358979284763336
24,5,24,Gonzaga,-23.974027000000000,-46.330098000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,23,3513504,Cubatão,SP,"Sports, recreation and leisure activities",29.000000000000000,90.000000000000000,81265.972325418348191,170453243.701563954353333,118720.000000000000000,0.001839686491033,118720.000000000000000,118720.000000000000000,62831.853071795863798,314159265.358979284763336
25,3,25,Pereque,-23.927582999999998,-46.178826000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,24,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,168097.334876858862117,585455279.529849529266357,47645.000000000000000,0.002129290253472,47645.000000000000000,47645.000000000000000,62831.853071795863798,314159265.358979284763336
