OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,osm_id,code,fclass,name_1,type_1,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1
52,8,52,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,NA,NA,NA,NA,NA,10000.000000000000000,52,60860745,1500,building,Hotel Meliá Barra,hotel,151.995672885193187,874.005303122204737,62831.853071795863798,314159265.358979284763336
53,8,53,52,Sudeste,NA,Sao Conrado,-23.000617999999999,-43.264187000000000,NA,NA,NA,NA,NA,10000.000000000000000,53,283788697,1500,building,Ibis,hotel,273.620412641732401,4514.133382713174797,62831.853071795863798,314159265.358979284763336
54,0,54,53,Sudeste,NA,Bambui,-22.975255000000001,-42.916570000000000,NA,NA,NA,NA,NA,10000.000000000000000,54,,,,,,,,62831.853071795863798,314159265.358979284763336
55,0,55,54,Sudeste,NA,Itaipuacu,-22.971149000000000,-43.011260000000000,NA,NA,NA,NA,NA,10000.000000000000000,55,,,,,,,,62831.853071795863798,314159265.358979284763336
56,0,56,55,Sudeste,NA,Barra de Marica,-22.962100000000000,-42.809486999999997,NA,NA,NA,NA,NA,10000.000000000000000,56,,,,,,,,62831.853071795863798,314159265.358979284763336
57,0,57,56,Sudeste,NA,Camboinhas,-22.961998000000001,-43.059922999999998,NA,NA,NA,NA,NA,10000.000000000000000,57,,,,,,,,62831.853071795863798,314159265.358979284763336
58,2,58,57,Sudeste,NA,Pirantininga,-22.955044999999998,-43.088653999999998,NA,NA,NA,NA,NA,10000.000000000000000,58,95339199,1500,building, ,hotel,119.932227713864151,885.254635547717839,62831.853071795863798,314159265.358979284763336
59,0,59,58,Sudeste,NA,Jacone,-22.946556000000001,-42.679789000000000,NA,NA,NA,NA,NA,10000.000000000000000,59,,,,,,,,62831.853071795863798,314159265.358979284763336
60,0,60,59,Sudeste,NA,Figueira,-22.944991999999999,-42.188828000000001,NA,NA,NA,NA,NA,10000.000000000000000,60,,,,,,,,62831.853071795863798,314159265.358979284763336
61,24,61,60,Sudeste,NA,Praia do Fora,-22.944794000000002,-43.155304000000001,NA,NA,NA,NA,NA,10000.000000000000000,61,95339199,1500,building, ,hotel,119.932227713864151,885.254635547717839,62831.853071795863798,314159265.358979284763336
62,24,62,61,Sudeste,NA,Laje do Pao de Acucar,-22.938409000000000,-43.151797000000002,NA,NA,NA,NA,NA,10000.000000000000000,62,95339199,1500,building, ,hotel,119.932227713864151,885.254635547717839,62831.853071795863798,314159265.358979284763336
63,0,63,62,Sudeste,NA,Canal,-22.937418999999998,-42.487813000000003,NA,NA,NA,NA,NA,10000.000000000000000,63,,,,,,,,62831.853071795863798,314159265.358979284763336
64,0,64,63,Sudeste,NA,Praia Seca,-22.936126000000002,-42.361598000000001,NA,NA,NA,NA,NA,10000.000000000000000,64,,,,,,,,62831.853071795863798,314159265.358979284763336
65,3,65,64,Sudeste,NA,Caravelas,-22.814850000000000,-41.953901999999999,NA,NA,NA,NA,NA,10000.000000000000000,65,545244252,1500,building,Espírito do Mar,hotel,104.905759506171918,544.268947248995914,62831.853071795863798,314159265.358979284763336
66,7,66,65,Sudeste,NA,Tucuns,-22.799863999999999,-41.929282000000001,NA,NA,NA,NA,NA,10000.000000000000000,66,336387954,1500,building,El Parador Pousada,hotel,123.001578174358883,907.750172373419559,62831.853071795863798,314159265.358979284763336
67,6,67,66,Sudeste,NA,Praia Brava,-22.754252000000001,-41.872608999999997,NA,NA,NA,NA,NA,10000.000000000000000,67,336387954,1500,building,El Parador Pousada,hotel,123.001578174358883,907.750172373419559,62831.853071795863798,314159265.358979284763336
68,0,68,67,Sudeste,NA,Marataizes,-21.044882999999999,-40.827455999999998,NA,NA,NA,NA,NA,10000.000000000000000,68,,,,,,,,62831.853071795863798,314159265.358979284763336
69,0,69,68,Sudeste,NA,Ponta do Ubu,-20.793246000000000,-40.579551000000002,NA,NA,NA,NA,NA,10000.000000000000000,69,,,,,,,,62831.853071795863798,314159265.358979284763336
70,0,70,69,Sudeste,NA,Ponta dos Castelhanos,-20.755085000000001,-40.560755000000000,NA,NA,NA,NA,NA,10000.000000000000000,70,,,,,,,,62831.853071795863798,314159265.358979284763336
71,21,71,70,Sudeste,NA,Maimba,-20.707021999999998,-40.514367999999997,NA,NA,NA,NA,NA,10000.000000000000000,71,97972510,1500,building,Bristol Residence Hotel,hotel,107.957763205258132,727.903472472807039,62831.853071795863798,314159265.358979284763336
72,22,72,71,Sudeste,NA,Praia do Morro,-20.659787999999999,-40.493842999999998,NA,NA,NA,NA,NA,10000.000000000000000,72,97972510,1500,building,Bristol Residence Hotel,hotel,107.957763205258132,727.903472472807039,62831.853071795863798,314159265.358979284763336
73,3,73,72,Sudeste,NA,Ponta de Bororo,-20.614518000000000,-40.415382000000001,NA,NA,NA,NA,NA,10000.000000000000000,73,449100000,1500,building,Hotel Nacional,hotel,155.494865882552091,702.362684208117912,62831.853071795863798,314159265.358979284763336
74,0,74,73,Sudeste,NA,Tropical,-20.559543999999999,-40.391810000000000,NA,NA,NA,NA,NA,10000.000000000000000,74,,,,,,,,62831.853071795863798,314159265.358979284763336
75,0,75,74,Sudeste,NA,Dunas de Ule,-20.542100000000001,-40.379860999999998,NA,NA,NA,NA,NA,10000.000000000000000,75,,,,,,,,62831.853071795863798,314159265.358979284763336
76,0,76,75,Sudeste,NA,Guarapari - Ule,-20.541319000000001,-40.378385999999999,NA,NA,NA,NA,NA,10000.000000000000000,76,,,,,,,,62831.853071795863798,314159265.358979284763336
77,0,77,76,Sudeste,NA,Ponta da Fruta,-20.516836999999999,-40.358133000000002,NA,NA,NA,NA,NA,10000.000000000000000,77,,,,,,,,62831.853071795863798,314159265.358979284763336
78,2,78,77,Sudeste,NA,Coral Dois,-20.448948000000001,-40.330300000000001,NA,NA,NA,NA,NA,10000.000000000000000,78,1032395838,1500,building, ,hotel,97.651367783579047,430.180535511391554,62831.853071795863798,314159265.358979284763336
