FID,Name,Lat,Lon,Zone,Surf_Spot,Wannasurf_,Wannasurf1,Quality,Frequency,Direction,Type,Experience,Surfline_n,Quality__0,Frequency_,Wannasur_1,Wannasur_2,Surfline_l,Surfline_1,Manually_a,Manually_1,SUM_10km,SUM_1km,sqtd_10km,sqtd_1km,SUM_10km_n,SUM_1km_n,seq_10km_n,seq_1km_n,NM_REGIAO,ID,hab_10km,CP_n_10km,hab_1km,CP_n_1km,added_n_10,fin_pri_10,added_n_1,fin_pri_1
38,Praia da Boracéia,-23.758372999999999,-45.828777000000002, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,84726.759082799995667,0.000000000000000,57455.774635299996589,0.000000000000000,0.076067135556300,0.000000000000000,0.073730528439600,0.000000000000000,Sudeste,38,0.420875718650000,0.598231878545000,0.262982616776000,0.332195251628000,0.674299014101000,0.425849482924000,0.332195251628000,0.179681259511000
39,Praia Dura,-23.496058000000001,-45.171014000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,39,0.355005483967000,0.504604062806000,0.421326893609000,0.532213098934000,0.504604062806000,0.318679658035000,0.532213098934000,0.287869015214000
40,Pereque-Acu,-23.424565000000001,-45.062697000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,40,0.391787192104000,0.556885506900000,0.433723397048000,0.547872155148000,0.556885506900000,0.351697689307000,0.547872155148000,0.296338850136000
41,Itamambuca,-23.406683000000001,-45.008741000000001, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,41,0.401304816870000,0.570413839114000,0.392118682266000,0.495317773929000,0.570413839114000,0.360241426073000,0.495317773929000,0.267912684006000
42,Praia da Fazenda,-23.361352000000000,-44.859766000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,42,0.382563843200000,0.543775457788000,0.381340540162000,0.481703004739000,0.543775457788000,0.343418116716000,0.481703004739000,0.260548584538000
43,Aventureiro,-23.184405999999999,-44.315804000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,43,0.196633328897000,0.279494208191000,0.258929755083000,0.327075744390000,0.279494208191000,0.176512884565000,0.327075744390000,0.176912166623000
44,Praia do Leste,-23.179746000000002,-44.274093999999998, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,44,0.213317583082000,0.303209172682000,0.461433643959000,0.582875276488000,0.303209172682000,0.191489927620000,0.582875276488000,0.315271706335000
45,Praia do Sul,-23.178656000000000,-44.296756999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sudeste,45,0.196593907912000,0.279438175283000,0.513055315707000,0.648082910536000,0.279438175283000,0.176477497319000,0.648082910536000,0.350541896858000
46,Praia do Meio,-23.066913000000000,-43.549809000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,581314.900327999959700,0.000000000000000,347968.841683999984525,0.000000000000000,0.521900752523000,0.000000000000000,0.446533472757000,0.000000000000000,Sudeste,46,0.377820913336000,0.537033867060000,0.294727158418000,0.372294426729000,1.058934619580000,0.668763783972000,0.372294426729000,0.201370522835000
47,Restinga a Marambaia,-23.061833000000000,-43.591673000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,668109.196364999981597,0.000000000000000,400144.683845999999903,0.000000000000000,0.599824109366000,0.000000000000000,0.513488490574000,0.000000000000000,Sudeste,47,0.413278924099000,0.587433810435000,0.000000000000000,0.000000000000000,1.187257919800000,0.749805591690000,0.000000000000000,0.000000000000000
