OID_,id,COUNT,AREA,MEAN
127,372,199.000000000000000,317326101.223699212074280,1574.285179559908329
128,373,198.000000000000000,315731497.699962019920349,1299.800355236939822
129,374,195.000000000000000,310947687.128750443458557,1319.492976888020848
130,375,195.000000000000000,310947687.128750443458557,929.534304574819771
131,376,195.000000000000000,310947687.128750443458557,1293.731458458533552
132,377,192.000000000000000,306163876.557538926601410,934.010042508443235
133,378,186.000000000000000,296596255.415115833282471,942.143757809874955
134,379,173.000000000000000,275866409.606532454490662,948.906114170316869
135,380,176.000000000000000,280650220.177744030952454,958.350720145485411
136,381,176.000000000000000,280650220.177744030952454,958.982032082297565
137,382,172.000000000000000,274271806.082795262336731,961.521044708961540
138,383,174.000000000000000,277461013.130269646644592,956.442311604817519
139,384,171.000000000000000,272677202.559058129787445,960.716480634365894
140,385,172.000000000000000,274271806.082795262336731,1494.171942422556413
141,386,168.000000000000000,267893391.987846553325653,962.379317510695387
142,387,165.000000000000000,263109581.416635006666183,965.415798117897452
143,388,150.000000000000000,239190528.560577273368835,1010.783767089843650
144,389,152.000000000000000,242379735.608051657676697,1015.666792217053739
145,390,152.000000000000000,242379735.608051657676697,1011.968547620271011
146,391,147.000000000000000,234406717.989365726709366,999.580577616788787
147,392,146.000000000000000,232812114.465628564357758,1031.086001879548348
148,393,153.000000000000000,243974339.131788820028305,1042.185928244996376
149,394,146.000000000000000,232812114.465628564357758,1044.677128203927850
150,395,169.000000000000000,269487995.511583745479584,1056.234534630408916
151,396,172.000000000000000,274271806.082795262336731,1056.351720055868100
152,397,151.000000000000000,240785132.084314465522766,1047.313638245033871
153,398,158.000000000000000,251947356.750474750995636,1051.802814725079315
154,399,172.000000000000000,274271806.082795262336731,1058.892276497774219
155,400,171.000000000000000,272677202.559058129787445,1057.543420624315331
156,401,165.000000000000000,263109581.416635006666183,1056.534031723484986
157,402,195.000000000000000,310947687.128750443458557,1231.193438877203789
158,403,185.000000000000000,295001651.891378641128540,1056.755428499788422
159,404,197.000000000000000,314136894.176224827766418,1227.515509126149936
160,405,175.000000000000000,279055616.654006838798523,1056.346330217633749
161,406,187.000000000000000,298190858.938853025436401,1046.323188006559121
162,407,190.000000000000000,302974669.510064542293549,1043.357326788651335
163,408,171.000000000000000,272677202.559058129787445,1056.842829118695590
164,409,87.000000000000000,138730506.565134823322296,1165.436276490660703
165,410,199.000000000000000,317326101.223699212074280,1040.593274600542372
166,411,197.000000000000000,314136894.176224827766418,1174.140958369686132
167,412,188.000000000000000,299785462.462590217590332,1150.589884007231149
168,413,197.000000000000000,314136894.176224827766418,1311.258385672787199
169,414,186.000000000000000,296596255.415115833282471,1151.310127504410502
170,415,187.000000000000000,298190858.938853025436401,1153.560158469460475
171,416,183.000000000000000,291812444.843904316425323,1149.603053358734769
172,417,187.000000000000000,298190858.938853025436401,1143.634790430732210
173,418,191.000000000000000,304569273.033801734447479,1332.344954725335583
174,419,161.000000000000000,256731167.321686297655106,1055.554118849475572
175,420,198.000000000000000,315731497.699962019920349,1034.569120156644658
176,421,200.000000000000000,318920704.747436404228210,1021.763489990234234
177,422,197.000000000000000,314136894.176224827766418,1535.082451989808078
178,423,189.000000000000000,301380065.986327409744263,1503.697826244213502
179,424,198.000000000000000,315731497.699962019920349,1634.818067762587134
180,425,197.000000000000000,314136894.176224827766418,1779.681457829354031
