OID_,id,COUNT,AREA,MEAN
120,365,333109.000000000000000,314162913.203170359134674,0.242998538016085
121,366,333093.000000000000000,314147823.227783143520355,0.515234484063009
122,367,333088.000000000000000,314143107.610474705696106,0.462631496781632
123,368,333112.000000000000000,314165742.573555469512939,0.446912750066045
124,369,333099.000000000000000,314153481.968553364276886,0.469403991005680
125,370,333108.000000000000000,314161970.079708635807037,0.522614287258183
126,371,333104.000000000000000,314158197.585861861705780,0.539660286276956
127,372,333107.000000000000000,314161026.956246972084045,0.339416463778907
128,373,333098.000000000000000,314152538.845091640949249,0.356372599054932
129,374,333102.000000000000000,314156311.338938474655151,0.220142779088687
130,375,333110.000000000000000,314163856.326632082462311,0.187787817837951
131,376,333103.000000000000000,314157254.462400138378143,0.082307874741447
132,377,333101.000000000000000,314155368.215476751327515,0.221482373214130
133,378,333096.000000000000000,314150652.598168253898621,0.239093234382881
134,379,333090.000000000000000,314144993.857398092746735,0.254180551802816
135,380,333104.000000000000000,314158197.585861861705780,0.228403141361257
136,381,333101.000000000000000,314155368.215476751327515,0.225234988787185
137,382,333090.000000000000000,314144993.857398092746735,0.218004143024408
138,383,333100.000000000000000,314154425.092015087604523,0.245589912939057
139,384,333123.000000000000000,314176116.931634128093719,0.233718476358582
140,385,333097.000000000000000,314151595.721629977226257,0.434504063380940
141,386,333092.000000000000000,314146880.104321479797363,0.229681289253420
142,387,333123.000000000000000,314176116.931634128093719,0.216472594206945
143,388,333091.000000000000000,314145936.980859756469727,0.206475107403082
144,389,333098.000000000000000,314152538.845091640949249,0.220601744831851
145,390,333109.000000000000000,314162913.203170359134674,0.213758859712587
146,391,333106.000000000000000,314160083.832785248756409,0.146619994836478
147,392,333107.000000000000000,314161026.956246972084045,0.256260000540367
148,393,333097.000000000000000,314151595.721629977226257,0.225480865933947
149,394,333106.000000000000000,314160083.832785248756409,0.222514755062953
150,395,333092.000000000000000,314146880.104321479797363,0.132858189329074
151,396,333103.000000000000000,314157254.462400138378143,0.128371704848050
152,397,333109.000000000000000,314162913.203170359134674,0.206833198742754
153,398,333082.000000000000000,314137448.869704484939575,0.172395986573877
154,399,333100.000000000000000,314154425.092015087604523,0.119213449414590
155,400,333097.000000000000000,314151595.721629977226257,0.125521995094522
156,401,333100.000000000000000,314154425.092015087604523,0.131155809066347
157,402,333102.000000000000000,314156311.338938474655151,0.032779749145907
158,403,333104.000000000000000,314158197.585861861705780,0.164396104519910
159,404,333114.000000000000000,314167628.820478856563568,0.033637133233667
160,405,333106.000000000000000,314160083.832785248756409,0.179177198849616
161,406,333109.000000000000000,314162913.203170359134674,0.178196926531556
162,407,333106.000000000000000,314160083.832785248756409,0.175067395964048
163,408,333098.000000000000000,314152538.845091640949249,0.104755957706141
164,409,333098.000000000000000,314152538.845091640949249,0.197776630300994
165,410,333093.000000000000000,314147823.227783143520355,0.116880270675157
166,411,333100.000000000000000,314154425.092015087604523,0.015376763734614
167,412,333092.000000000000000,314146880.104321479797363,0.053624824372846
168,413,333108.000000000000000,314161970.079708635807037,0.042466707494266
169,414,333089.000000000000000,314144050.733936369419098,0.065000645473132
170,415,333110.000000000000000,314163856.326632082462311,0.066605625769266
171,416,333102.000000000000000,314156311.338938474655151,0.064986100353646
172,417,333090.000000000000000,314144993.857398092746735,0.065294665105528
173,418,333102.000000000000000,314156311.338938474655151,0.043136937034302
174,419,333102.000000000000000,314156311.338938474655151,0.098294216186033
175,420,333112.000000000000000,314165742.573555469512939,0.092386344532770
176,421,333091.000000000000000,314145936.980859756469727,0.101695932943250
177,422,333100.000000000000000,314154425.092015087604523,0.044437105974182
178,423,333091.000000000000000,314145936.980859756469727,0.042384813759603
179,424,333108.000000000000000,314161970.079708635807037,0.071241159023500
180,425,333112.000000000000000,314165742.573555469512939,0.058586901702731
181,426,333103.000000000000000,314157254.462400138378143,0.076693995550925
182,427,333110.000000000000000,314163856.326632082462311,0.088481282459246
183,428,333096.000000000000000,314150652.598168253898621,0.039126858323127
184,429,333120.000000000000000,314173287.561249077320099,0.052737752161384
185,430,333098.000000000000000,314152538.845091640949249,0.041786501269897
186,431,333104.000000000000000,314158197.585861861705780,0.030443945434459
187,432,333101.000000000000000,314155368.215476751327515,0.079300272289786
188,433,333102.000000000000000,314156311.338938474655151,0.032236372042197
189,434,333105.000000000000000,314159140.709323585033417,0.032722414854175
190,435,333095.000000000000000,314149709.474706590175629,0.020756841141416
191,436,333105.000000000000000,314159140.709323585033417,0.033481935125561
192,437,333089.000000000000000,314144050.733936369419098,0.029739799272867
193,438,333101.000000000000000,314155368.215476751327515,0.099864605630124
194,439,333108.000000000000000,314161970.079708635807037,0.127493185393326
195,440,333095.000000000000000,314149709.474706590175629,0.069886969182966
196,441,333101.000000000000000,314155368.215476751327515,0.152064989297541
197,442,333103.000000000000000,314157254.462400138378143,0.177965974488372
198,443,333094.000000000000000,314148766.351244866847992,0.081100229965114
199,444,333091.000000000000000,314145936.980859756469727,0.079200578820802
200,519,333085.000000000000000,314140278.240089595317841,0.405169851539403
201,520,333103.000000000000000,314157254.462400138378143,0.309216668718084
202,521,333082.000000000000000,314137448.869704484939575,0.004593463471457
203,522,333099.000000000000000,314153481.968553364276886,0.426167595819861
204,523,333114.000000000000000,314167628.820478856563568,0.397908824006197
205,524,333099.000000000000000,314153481.968553364276886,0.436068556195005
206,525,333097.000000000000000,314151595.721629977226257,0.483564847476862
