OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,pop_change,Shape_Length,Shape_Area
26,1,26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,26,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,25940.000000000000000,6283.185307179585834,3141592.653589793015271
27,1,27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,27,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,25940.000000000000000,6283.185307179585834,3141592.653589793015271
28,1,28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,28,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,17606.000000000000000,6283.185307179585834,3141592.653589793015271
29,1,29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,29,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
30,1,30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,30,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
31,1,31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,31,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,17606.000000000000000,6283.185307179585834,3141592.653589793015271
32,1,32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,32,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
33,1,33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,33,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
34,1,34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,34,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
35,1,35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,35,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
36,1,36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,36,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
37,1,37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,37,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
38,1,38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,38,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
39,1,39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,39,3550704,São Sebastião,SP,402.394999999999982,12016.000000000000000,18997.000000000000000,33890.000000000000000,58038.000000000000000,73942.000000000000000,15904.000000000000000,6283.185307179585834,3141592.653589793015271
40,1,40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,40,3555406,Ubatuba,SP,708.105000000000018,15203.000000000000000,27139.000000000000000,47398.000000000000000,66861.000000000000000,78801.000000000000000,11940.000000000000000,6283.185307179585834,3141592.653589793015271
41,1,41,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,41,3555406,Ubatuba,SP,708.105000000000018,15203.000000000000000,27139.000000000000000,47398.000000000000000,66861.000000000000000,78801.000000000000000,11940.000000000000000,6283.185307179585834,3141592.653589793015271
42,1,42,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,42,3555406,Ubatuba,SP,708.105000000000018,15203.000000000000000,27139.000000000000000,47398.000000000000000,66861.000000000000000,78801.000000000000000,11940.000000000000000,6283.185307179585834,3141592.653589793015271
43,1,43,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,43,3555406,Ubatuba,SP,708.105000000000018,15203.000000000000000,27139.000000000000000,47398.000000000000000,66861.000000000000000,78801.000000000000000,11940.000000000000000,6283.185307179585834,3141592.653589793015271
