OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state
259,258,Sul,Florianopolis,Caldeirao,-27.72369,-48.504596,3.5,3,Left,Beach-break,Experienced surfers,1,3,0,3.5,Santa Catarina
260,259,Sul,Florianopolis,Morro das Pedras,-27.715522,-48.502257,3,4,Right and left,Sand-bar,Experienced surfers,2,4,0,3,Santa Catarina
261,260,Sul,Florianopolis,Campeche Rights,-27.693864,-48.482687,4,2,Right,Sand-bar,Experienced surfers,1,2,0,4,Santa Catarina
262,261,Sul,Florianopolis,Riozinho,-27.685523,-48.479598,5,3,Right and left,Beach-break,Experienced surfers,2,3,0,5,Santa Catarina
263,262,Sul,Florianopolis,Joaquina,-27.629589,-48.448768,4,4,Left,Sand-bar,Experienced surfers,1,4,0,4,Santa Catarina
264,263,Sul,Florianopolis,Praia Mole,-27.602476,-48.432584,3.5,3,Right and left,Sand-bar,All surfers,2,3,1,3.5,Santa Catarina
265,264,Sul,Florianopolis,Galheta,-27.593482,-48.425224,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina
266,265,Sul,Florianopolis,Barra da Lagoa,-27.572818,-48.424376,3,3,Right and left,Beach-break,Beginners wave,2,3,0,3,Santa Catarina
267,266,Sul,Florianopolis,Mocambique,-27.525323,-48.410568,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina
6,5,Sul,NA,Mocambique,-27.51835,-48.39218333,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina
268,267,Sul,Santa Catarina South,Ponta das Aranhas,-27.4821,-48.380892,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina
269,268,Sul,Florianopolis,Santinho,-27.45794,-48.372631,3.5,4,Right and left,Beach-break,Experienced surfers,2,4,0,3.5,Santa Catarina
270,269,Sul,Florianopolis,Canasvieiras,-27.430966,-48.479662,3.5,1,Right,Sand-bar,All surfers,1,1,1,3.5,Santa Catarina
271,270,Sul,Florianopolis,Praia do Forte,-27.430747,-48.519659,3.5,1,Right,Point-break,All surfers,1,1,1,3.5,Santa Catarina
272,271,Sul,Florianopolis,Ingleses,-27.429833,-48.39057,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Santa Catarina
273,272,Sul,Florianopolis,Praia Brava,-27.400804,-48.413401,3.5,3,Right and left,Beach-break,Experienced surfers,2,3,0,3.5,Santa Catarina
274,273,Sul,Santa Catarina South,Praia Brava,-27.396441,-48.41413,3,4,Right and left,Sand-bar,All surfers,2,4,1,3,Santa Catarina
7,6,Sul,NA,Ponta das Canas,-27.394819,-48.435709,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina
275,274,Sul,Florianopolis,Lambe lambe,-27.387601,-48.433185,4,1,Right,Point-break,Experienced surfers,1,1,0,4,Santa Catarina
276,275,Sul,Florianopolis,Ponta Do Rapa,-27.380837,-48.420525,4,1,Right,Reef-rocky,Pros or kamikaze only...,1,1,0,4,Santa Catarina
277,276,Sul,Santa Catarina North,Tingua,-27.368166,-48.532501,3.5,1,Left,Beach-break,Experienced surfers,1,1,0,3.5,Santa Catarina
278,277,Sul,Santa Catarina North,Palmas,-27.321984,-48.535452,3.5,2,Right and left,Beach-break,Experienced surfers,2,2,0,3.5,Santa Catarina
279,278,Sul,Santa Catarina North,Mariscal,-27.166504,-48.494833,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina
280,279,Sul,Santa Catarina North,Quatro Ilhas,-27.156195,-48.482924,3.5,3,Right,Point-break,Experienced surfers,1,3,0,3.5,Santa Catarina
