objectid,normalized_terr_rich,normalized_mar_rich,normalized_coral_reef,normalized_seagrass,normalized_mangrove,marine_eco_added,normalized_marine_eco,high_perce,terr_pa_high_weighted,normalized_terr_pa_high,very_high,terr_pa_ver_high_weighted,normalized_terr_pa_ver_high,extremely,normalized_terr_pa_ext_high,added_terr_pa,normalized_terr_pa,oceanic_pa,normalized_ocean_pa,mean,normalized_tree_cover,added_biodiversity,biodiversity_subindex
53,0.9811549255,0.2877461169,0,0,0,0,0,0,0,0,0.039948779271759,0.0266298563,0.0798120439,0.106935280307391,0.124789728,0.2046017719,0.2046017719,0.275988279876752,0.3164328193,0.186322985058496,0.2822745303,2.0722101639,0.4853506109
54,0.9734540253,0.3282344398,0,0,0,0,0,0,0,0,0,0,0,0.287023259194131,0.3349460939,0.3349460939,0.3349460939,0.385783352507846,0.442317746,0.089448198637683,0.1355117204,2.2144640254,0.5412429896
55,0.9847677766,0.279644621,0,0.1428571429,0,0.1428571429,0.0749286002,0,0,0,0.061767490282635,0.041174209,0.1234027605,0.027174957299925,0.0317122237,0.1551149842,0.1551149842,0.193645270723032,0.2220229025,0.174073073343541,0.2637162291,1.9801951136,0.4491973565
56,0.9875719253,0.2793471122,0,0.4285714286,0,0.4285714286,0.2247858005,0,0,0,0.045502065402662,0.0303316768,0.0909067287,0.003978019154617,0.0046422091,0.0955489378,0.0955489378,0.224570779706642,0.257480372,0.130169556654979,0.1972035305,2.0419376783,0.4734563733
57,0.9663073437,0.3152663141,0,0,0,0,0,0,0,0,0,0,0,0.005364977373108,0.0062607407,0.0062607407,0.0062607407,0.384722489644206,0.4411014196,0.252587842543891,0.3826640852,2.1115999033,0.5008270711
58,0.9350183376,0.3256461265,0,0.1428571429,0,0.1428571429,0.0749286002,0,0,0,0,0,0,0,0,0,0,0,0,0.016706293454375,0.0253096049,1.3609026692,0.2058737134
59,0.9933964349,0.2835798969,0,0.5714285714,0,0.5714285714,0.2997144006,0,0,0,0,0,0,0,0,0,0,0.359329691243144,0.4119874486,0.091877968381298,0.1391927591,2.1278709401,0.5072200572
60,0.994195289,0.2831817209,0,0.5714285714,0,0.5714285714,0.2997144006,0,0,0,0,0,0,0,0,0,0,0.352394911832438,0.404036416,0.088433168517468,0.1339739759,2.1151018024,0.5022029879
61,0.961289745,0.3149965302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414505169408212,0.4752485846,0.063648317602133,0.0964255642,1.847960424,0.3972415694
62,0.9535059657,0.3270610478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366874221896865,0.420637588,0.025018236835706,0.0379019854,1.7391065869,0.3544722567
63,0.8965549473,0.4994143467,0,1,0,1,0.5245002011,0,0,0,0,0,0,0,0,0,0,0.151951407944083,0.1742190373,0.079978264981102,0.1211650145,2.2158535469,0.5417889407
64,0.7486726212,0.5126614743,0,1,0,1,0.5245002011,0,0,0,0,0,0,0,0,0,0,0.280690621897649,0.3218242633,0.067384967322224,0.1020864924,2.2097450523,0.5393888773
65,0.3607877661,0.5311330334,0,1,0,1,0.5245002011,0,0,0,0,0,0,0,0,0,0,0.474108332105854,0.5435862575,0.020894375330227,0.0316544412,1.9916616993,0.4537026455
66,0.8908131822,0.463430279,0,0,0.0172263684,0.0172263684,0.0090352337,0,0,0,0,0,0,0,0,0,0,0.39109848772354,0.4484117846,0.029210271928719,0.0442528107,1.8559432902,0.4003780845
67,0.8790322701,0.4667849878,0,0,0.1017690426,0.1017690426,0.0533778833,0,0,0,0.212117987992353,0.1413978508,0.4237819143,0,0,0.4237819143,0.4237819143,0.45299994753306,0.5193845572,0.153801352178978,0.2330050929,2.5753667056,0.6830437749
68,0.8797580526,0.4683174601,0,0,0.0941756941,0.0941756941,0.0493951705,0,0,0,0.271609520051848,0.1810549061,0.5426376304,0,0,0.5426376304,0.5426376304,0.362043508151237,0.4150989602,0.185930055570066,0.2816792523,2.6368865261,0.7072152741
69,0.8747915295,0.5119063522,0,0,0.0808769414,0.0808769414,0.042419972,0,0,0,0.33899751855092,0.2259757459,0.6772693761,0,0,0.6772693761,0.6772693761,0.405444578112127,0.4648602143,0.144836385469829,0.2194233989,2.790670843,0.7676380365
70,0.8745941859,0.5480507217,0,0,0.0826977887,0.0826977887,0.0433750068,0,0,0,0.449838137145036,0.2998621022,0.8987133467,0,0,0.8987133467,0.8987133467,0.263667607274639,0.302306621,0.205116427087461,0.3107461117,2.9777859938,0.8411566796
71,0.8664419871,0.6313991892,0,0,0.0018208473,0.0018208473,9.550348e-4,0,0,0,0.193442068392941,0.12894848280000001,0.386470053,0,0,0.386470053,0.386470053,0.296205596458806,0.3396128706,0.087265085559892,0.1322043603,2.357083495,0.5972790178
72,0.86606147,0.6332701529,0,0,0.0015747861,0.0015747861,8.259756e-4,0,0,0,0.208324460931755,0.1388690857,0.4162029808,0,0,0.4162029808,0.4162029808,0.2080765746296,0.2385690333,0.095167759444725,0.1441767079,2.2991063205,0.5744994451
73,0.8663551224,0.6390572542,0,0,0,0,0,0,0,0,0.198451378020801,0.1322876886,0.3964779493,0,0,0.3964779493,0.3964779493,0.249857046277156,0.2864721995,0.084921973977316,0.1286546065,2.3170171319,0.5815367082
74,0.8661790429,0.639540299,0,0,0,0,0,0,0,0,0.193158059422355,0.1287591624,0.3859026429,0,0,0.3859026429,0.3859026429,0.257468397078532,0.2951989512,0.082997367307179,0.1257388769,2.3125598129,0.5797854013
75,0.8669081912,0.6472609598,0,0,0,0,0,0,0,0,0.198898572861045,0.1325857887,0.3973713818,0,0,0.3973713818,0.3973713818,0.345618666457369,0.3962671498,0.062819539053189,0.095169986,2.4029776686,0.6153111085
76,0.8738048656,0.6032625641,0,0,0,0,0,0,0,0,0.318589020319803,0.2123714409,0.636496066,0,0,0.636496066,0.636496066,0.42052215899577,0.4821473304,0.054985995322768,0.0833023687,2.6790131948,0.72376709
77,0.874399745,0.5999443747,0,0,0,0,0,0,0,0,0.324328979793789,0.2161976979,0.647963698,0,0,0.647963698,0.647963698,0.419265648001556,0.4807066847,0.053114586773138,0.0804672329,2.6834817353,0.7255228058
78,0.8755514522,0.5923999806,0,0,0,0,0,0,0,0,0.338654606061604,0.2257471604,0.676584285,0,0,0.676584285,0.676584285,0.417136517970883,0.4782655426,0.044225100115876,0.0669998893,2.6898011497,0.7280057409
79,0.8782541126,0.5785124058,0,0,1.99334e-5,1.99334e-5,1.04551e-5,0,0,0,0.377905755835521,0.2519119768,0.7550025631,0,0,0.7550025631,0.7550025631,0.399549257210801,0.4581009671,0.035733262885499,0.0541349743,2.724015478,0.7414487517
80,0.8765306382,0.5099162334,0,0.1428571429,0.243330968,0.3861881109,0.2025557418,0,0,0,0.131463331924567,0.0876334571,0.2626452524,0,0,0.2626452524,0.2626452524,0.196928341641543,0.2257870891,0.094868838974248,0.1437238511,2.221158806,0.5438734082
81,0.8754014296,0.5232795213,0,0,0.075602386,0.075602386,0.0396534667,0,0,0,0.070544886369742,0.0470252213,0.1409387639,0,0,0.1409387639,0.1409387639,0.214005343745077,0.2453666304,0.066029012657012,0.100032256,1.9246720679,0.4273820254
82,0.8750353502,0.5316780013,0,0,0,0,0,0,0,0,0.040685443899675,0.0271209169,0.0812837962,0,0,0.0812837962,0.0812837962,0.232003834660928,0.2660026996,0.0577532144326,0.0874946345,1.8414944818,0.3947010627
83,0.8756063919,0.534804397,0,0,0,0,0,0,0,0,0.020104740700705,0.0134018202,0.0401664452,0,0,0.0401664452,0.0401664452,0.243491127789334,0.2791733913,0.064986761288928,0.098453272,1.8282038974000001,0.3894791139
84,0.8773949704,0.5363526962,0,0,0,0,0,0,0,0,0.001821067678957,0.0012139237,0.0036382371,0,0,0.0036382371,0.0036382371,0.223863854948078,0.2566698513,0.109411351499014,0.1657553836,1.8398111386,0.3940396672
85,0.87934195,0.5377195936,0,0,0.0033720791,0.0033720791,0.0017686562,0,0,0,0.039231941198744,0.026152012,0.0783799021,0,0,0.0783799021,0.0783799021,0.048409090480205,0.055503172,0.183676716490497,0.2782655015,1.8309787754,0.3905693798
86,0.879437645,0.5377932018,0,0,0.0035379546,0.0035379546,0.0018556579,0,0,0,0.046138866234963,0.0307561682,0.0921789671,0,0,0.0921789671,0.0921789671,0.045178808016948,0.0517995097,0.186127080862817,0.2819777405,1.845042722,0.3960951871
87,0.8833881494,0.5378643461,0,0,0.0161778934,0.0161778934,0.0084853083,0,0,0,0.259401664478112,0.1729171495,0.5182480513,0,0,0.5182480513,0.5182480513,0.003405376152169,0.003904415,0.325521005325632,0.493155951,2.4450462211,0.6318400902
88,0.8837084111,0.5376743323,0,0,0.0161778934,0.0161778934,0.0084853083,0,0,0,0.311285309158989,0.2075027871,0.6219042782,0,0,0.6219042782,0.6219042782,6.8040160315e-5,7.80111e-5,0.345080274265403,0.5227877404,2.5746380814,0.6827574941
89,0.8624315651,0.7542543826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474915749214947,0.5445119971,0.108680706705294,0.1646484755,2.3258464203,0.5850057875
90,0.8471166369,0.4362939228,0,0,0.1987215406,0.1987215406,0.104229488,0,0,0,0,0,0,0,0,0,0,0.436734005249104,0.500734932,0.063366687381602,0.0959989017,1.9843738814,0.450839219
91,0.7984909008,0.4528652669,0,0,0.1617584013,0.1617584013,0.084842314,0,0,0,0.417727180492935,0.2784569385,0.8345601704,0,0,0.8345601704,0.8345601704,0.172693918956412,0.1980012473,0.270838649634489,0.4103135885,2.7790734879,0.7630813675
92,0.7993341591,0.4557926415,0,0,0.1672178323,0.1672178323,0.0877057867,0,0,0,0.39694490952617,0.2646034767,0.7930401153,0,0,0.7930401153,0.7930401153,0.197433697818834,0.2263665024,0.25452340281176,0.3855964092,2.7478356142,0.7508078233
93,0.799819804,0.4538730134,0,0,0.1682061126,0.1682061126,0.0882241399,0,0,0,0.37373985711097,0.2491349888,0.7466796835,0,0,0.7466796835,0.7466796835,0.191112919867746,0.2191194498,0.246216749271268,0.3730120427,2.6807281333,0.7244408994
94,0.8002307343,0.4551393267,0,0,0.1685689602,0.1685689602,0.0884144535,0,0,0,0.354173677286748,0.2360921733,0.7075892073,0,0,0.7075892073,0.7075892073,0.182857499886014,0.2096542442,0.234054753477257,0.3545869319,2.6156148979,0.6988575263
95,0.8005142173,0.4562162969,0,0,0.1688798825,0.1688798825,0.0885775323,0,0,0,0.336591511551893,0.2243719016,0.6724625123,0,0,0.6724625123,0.6724625123,0.174643452539157,0.2002364741,0.225311013977617,0.3413403914,2.5593474243,0.6767497051
96,0.801450768,0.4310444113,0,0,0.024640618,0.024640618,0.0129240091,0,0,0,0,0,0,0,0,0,0,0.018868820805525,0.021633941,0.332681898826517,0.5040045205,1.7710576499,0.3670260172
97,0.7805356805,0.3933474128,0,0,0.0088293558,0.0088293558,0.0046309989,0,0,0,0,0,0,0,0,0,0,0.060711513168521,0.069608446,0.369843438058212,0.5603032967,1.8084258349,0.3817081969
98,0.7575127011,0.5057418407,0,0,0.0269809334,0.0269809334,0.014151505,0,0,0,0,0,0,0,0,0,0,0.305951995141343,0.3507875495,0.34236738614872,0.5186777847,2.146871381,0.5146854421
99,0.7519638442,0.5208317027,0,0,0.0334376238,0.0334376238,0.0175380404,0,0,0,0,0,0,0,0,0,0,0.450724095841421,0.5167751922,0.28851748331527,0.4370965669,2.2442053464,0.5529285295
100,0.6820520938,0.4480001442,0.0581556905,0,0,0.0581556905,0.0305026714,0,0,0,0,0,0,0,0,0,0,0.547697190718342,0.627959152,0.016312880691421,0.0247135947,1.8132276561,0.3835948606
101,0.6817969569,0.4440030959,0.060321209,0,0,0.060321209,0.0316384863,0,0,0,0,0,0,0,0,0,0,0.557861528240017,0.6396130163,0.01786572039292,0.0270661069,1.8241176623,0.3878736081
102,0.6803881916,0.4300894298,0.0619513286,0,0,0.0619513286,0.0324934843,0,0,0,0,0,0,0,0,0,0,0.587473870979836,0.6735648823,0.025072572970734,0.0379843032,1.8545202912,0.3998189798
103,0.6792481658,0.4244859575,0.065680708,0,0,0.065680708,0.0344495446,0,0,0,0,0,0,0,0,0,0,0.591129519000288,0.6777562451,0.030345241669168,0.0459722607,1.8619121737,0.4027232939
104,0.6767560069,0.425727592,0.1042027627,0,0,0.1042027627,0.05465437,0,0,0,0,0,0,0,0,0,0,0.571946201774159,0.65576172,0.041676048430919,0.0631381415,1.8760378304,0.4082733475
105,0.6729785548,0.4383993724,0.1139717922,0,0,0.1139717922,0.0597782279,0,0,0,0,0,0,0,0,0,0,0.509998427937344,0.5847358463,0.057479097554752,0.0870793545,1.8429713559,0.3952813352
106,0.6719951534,0.4490309356,0.1069983369,0,0,0.1069983369,0.0561206492,0,0,0,0,0,0,0,0,0,0,0.476310937559942,0.5461116425,0.06882182700275,0.1042632979,1.8275216786,0.3892110661
107,0.6713398155,0.45326006680000003,0.1008668583,0,0,0.1008668583,0.0529046875,0,0,0,0,0,0,0,0,0,0,0.470532233777291,0.539486102,0.072226475135468,0.1094212522,1.826411924,0.388775037
108,0.6690327221,0.4552056098,0.0834057566,0,0,0.0834057566,0.0437463361,0,0,0,0,0,0,0,0,0,0,0.544583316216983,0.6243889566,0.055204815298479,0.0836338754,1.8760075,0.4082614305
109,0.6689693687,0.4619527065,0.0867686133,0,0,0.0867686133,0.0455101551,0,0,0,4.04728943e-7,2.698e-7,8.086e-7,0,0,8.086e-7,8.086e-7,0.529661766574771,0.6072807373,0.057589831190314,0.0872471131,1.8709608893,0.4062785875
110,0.6697415623,0.4617136894,0.0818196649,0,0,0.0818196649,0.0429144307,0,0,0,0,0,0,0,0,0,0,0.47660579236256,0.5464497066,0.078126454138535,0.1183595687,1.8391789577,0.3937912797
111,0.6688827781,0.4690921549,0.0883080412,0,0,0.0883080412,0.0463175854,0,0,0,3.72033002192e-4,2.479972e-4,7.432696e-4,0,0,7.432696e-4,7.432696e-4,0.519541816275472,0.5956777648,0.058125816184086,0.0880591166,1.8687726694,0.405418823
112,0.6688590948,0.4749244142,0.0893932904,0,0,0.0893932904,0.0468867988,0,0,0,0.002095781433015,0.0013970479,0.0041870766,0,0,0.0041870766,0.0041870766,0.501517486894658,0.5750120707,0.059164722730098,0.0896330333,1.8595024884,0.4017765144
113,0.6687976793,0.4786318283,0.0897407128,0,0,0.0897407128,0.0470690219,0,0,0,0.003442928567812,0.0022950562,0.0068784872,0,0,0.0068784872,0.0068784872,0.491597401343134,0.5636382521,0.059449901532254,0.0900650718,1.8550803406,0.4000390265
114,0.6687430817,0.4790443395,0.0883666239,0,0,0.0883666239,0.046348312,0,0,0,0.005088909728758,0.0033922672,0.010166926,0,0,0.010166926,0.010166926,0.485952120127606,0.5571656865,0.055470828054543,0.0840368779,1.8455052236,0.3962769067
115,0.6691730046,0.5152278393,0.0869924717,0,0,0.0869924717,0.0456275689,0,0,0,0.0384917735598,0.0256586163,0.0769011514,0,0,0.0769011514,0.0769011514,0.350005148154369,0.4012964458,0.069536006340286,0.1053452612,1.8135712712,0.383729869
116,0.6693800046,0.5235203062,0.0858487987,0,0,0.0858487987,0.0450277122,0,0,0,0.055457742516552,0.0369681312,0.1107967718,0,0,0.1107967718,0.1107967718,0.30738360485831,0.3524289536,0.077600129683776,0.1175622007,1.8187159491,0.3857512432
117,0.6702376652,0.5446667645,0.0589478946,0,0,0.0589478946,0.0309181826,0,0,0,0.146996997542389,0.0979881986,0.2936793321,0,0,0.2936793321,0.2936793321,0.136814169854057,0.1568635216,0.089273491444011,0.1352470435,1.8316125095,0.3908183777
118,0.6702470943,0.5482737617,0.0559594295,0,0,0.0559594295,0.029350732,0,0,0,0.245665734679032,0.1637607787,0.490805595,0,0,0.490805595,0.490805595,0.030951762127885,0.0354875698,0.113437343332062,0.1718546577,1.9460194105,0.4357695218
119,0.6602491394,0.5590513008,0.1656900577,0,0,0.1656900577,0.0869044686,0,0,0,0.272772863961483,0.1818303911,0.5449618278,0,0,0.5449618278,0.5449618278,8.66654150623e-4,9.936575e-4,0.152866547983945,0.2315888886,2.0837492827,0.4898843985
120,0.6601234641,0.4924079221,0.1266923185,0,0,0.1266923185,0.0664501465,0,0,0,0.282584313071082,0.1883707031,0.5645637237,0,0,0.5645637237,0.5645637237,0.025859510028531,0.0296490766,0.183690378980739,0.2782861998,2.0914805328,0.4929220521
121,0.6448666191,0.6401232788,0,0,0.0612456235,0.0612456235,0.0321233418,0,0,0,0.300612152013461,0.2003880605,0.6005808109,0,0,0.6005808109,0.6005808109,0,0,0.152811802003026,0.2315059499,2.1492000005,0.5156003704
122,0.6424746703,0.5982025302,0,0,0.105737845,0.105737845,0.055459521,0,0,0,0,0,0,0,0,0,0,0.217637373132371,0.2495309134,0.198584157940244,0.3008498919,1.8465175268,0.3966746466
