fid,name,surf_spot,quality,frequency,direction,type,experience
164,Afogados,NA,"NA","NA",NA,NA,NA
165,Sororoca,NA,"NA","NA",NA,NA,NA
166,Abacateiro,NA,"NA","NA",NA,NA,NA
167,Tibau do Sul,NA,"NA","NA",NA,NA,NA
168,Tabatinga,NA,"NA","NA",NA,NA,NA
169,Xoxoline,NA,"NA","NA",NA,NA,NA
170,Pirangi Reef,NA,"NA","NA",NA,NA,NA
171,Cotovelo,NA,"NA","NA",NA,NA,NA
172,Miami,NA,"NA","NA",NA,NA,NA
173,Areia Preta,NA,"NA","NA",NA,NA,NA
174,Praia dos Artistas,NA,"NA","NA",NA,NA,NA
175,Genipabu,NA,"NA","NA",NA,NA,NA
176,Touros Area,NA,"NA","NA",NA,NA,NA
177,Urca da Concei&ccedil;&atilde;o,NA,"NA","NA",NA,NA,NA
178,Cocoa das Lavadeiras,NA,"NA","NA",NA,NA,NA
179,Baia das Ratas,NA,"NA","NA",NA,NA,NA
180,Volta da Jurema,NA,"NA","NA",NA,NA,NA
181,Portao,NA,"NA","NA",NA,NA,NA
182,Barra do Ceara,NA,"NA","NA",NA,NA,NA
183,Praia do Pecem,NA,"NA","NA",NA,NA,NA
184,Tabinha,NA,"NA","NA",NA,NA,NA
185,Pedra do Meio,NA,"NA","NA",NA,NA,NA
186,Havaizinho,NA,"NA","NA",NA,NA,NA
187,Curral,NA,"NA","NA",NA,NA,NA
188,Outside,NA,"NA","NA",NA,NA,NA
189,Atins,NA,"NA","NA",NA,NA,NA
190,Ponta d'Areia,NA,"NA","NA",NA,NA,NA
191,S&atilde;o Marcos,NA,"NA","NA",NA,NA,NA
192,Calhau,NA,"NA","NA",NA,NA,NA
193,Olho D'Agu,NA,"NA","NA",NA,NA,NA
194,Ponta do Farol,NA,"NA","NA",NA,NA,NA
195,NA,Hermenegildo,3.0,3,Right and left,Beach-break,All surfers
196,NA,Navio,3.0,2,Right and left,Beach-break,All surfers
197,NA,Tres Marias,5.0,2,Right and left,Sand-bar,Pros or kamikaze only...
198,NA,Praia do Cassino,3.0,2,Right and left,Sand-bar,All surfers
199,NA,Sao Jose do Norte,3.0,"NA",Right and left,Beach-break,All surfers
200,NA,Quintão,3.5,3,Right and left,Sand-bar,Experienced surfers
201,NA,Nova Tramandaí,3.0,3,Right and left,Beach-break,All surfers
