id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
145,0,0.4363636364,0,0.4363636364,0.2088441969
146,0.0513644277,0.1818181818,0,0.2331826095,0.1116014964
147,0.0513644277,0,0,0.0513644277,0.0245830811
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0.0181818182,0,0.0181818182,0.0087018415
151,0.0275717862,0,0,0.0275717862,0.0131958923
152,0.0275717862,0.0181818182,0,0.0457536044,0.0218977338
153,0.0275717862,0.2909090909,0,0.3184808771,0.1524253569
154,0.0275717862,0.2909090909,0,0.3184808771,0.1524253569
155,0.0087176695,0.0363636364,0,0.0450813059,0.0215759709
156,0.0131155194,0.2363636364,1,1.2494791558,0.5980023289
157,0,0,0,0,0
158,0,0.0181818182,0,0.0181818182,0.0087018415
159,0,0.0181818182,0,0.0181818182,0.0087018415
160,0,0.0181818182,0,0.0181818182,0.0087018415
161,0,0.0181818182,0,0.0181818182,0.0087018415
162,0,0.0181818182,0,0.0181818182,0.0087018415
163,0,0.4909090909,0,0.4909090909,0.23494972150000001
164,0,0.5272727273,0,0.5272727273,0.2523534046
165,0,0.5272727273,0,0.5272727273,0.2523534046
166,0,0.5272727273,0,0.5272727273,0.2523534046
167,0,0.5272727273,0,0.5272727273,0.2523534046
168,0.0553390321,0.4363636364,0,0.4917026685,0.2353295287
169,0.0553390321,0.4545454545,0,0.5098844866,0.2440313702
170,0.0553390321,0.4363636364,0,0.4917026685,0.2353295287
171,0.0553390321,0.6363636364,0,0.6917026685,0.3310497856
172,0.0553390321,0.5636363636,0,0.6189753957,0.2962424194
173,0.0553390321,0.5090909091,0,0.5644299412,0.2701368949
174,0.1242051624,0.3636363636,0,0.487841526,0.233481581
175,0.0134350683,0.0545454545,0,0.0679805228,0.0325355655
176,0,0.1636363636,0,0.1636363636,0.0783165738
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,1,1,0.4786012845
180,0.0894218892,1,1,2.0894218892,1
181,0.0168782481,1,1,2.0168782481,0.9652805202
182,0.0168782481,0.5636363636,0,0.5805146117,0.2778350388
183,0.0168782481,0.0727272727,0,0.0896055208,0.0428853174
184,0,0,0,0,0
185,0,0.0181818182,0,0.0181818182,0.0087018415
186,0,0.0181818182,0,0.0181818182,0.0087018415
187,0,0.0181818182,0,0.0181818182,0.0087018415
188,0,0.0181818182,0,0.0181818182,0.0087018415
189,0.0071426932,0.0181818182,0,0.0253245114,0.0121203437
190,0.0459638684,0.0181818182,0,0.0641456866,0.030700208
191,0.0139035258,0.0181818182,0,0.032085344,0.0153560869
192,0,0.0181818182,0,0.0181818182,0.0087018415
193,0,0.0181818182,0,0.0181818182,0.0087018415
194,0,0,0,0,0
445,0.0331270396,0,1,1.0331270396,0.4944559282
446,0,0,0,0,0
447,0,0,0,0,0
448,0,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,0
451,0,0,0,0,0
452,0,0,0,0,0
453,0,0,0,0,0
454,0,0,1,1,0.4786012845
455,0,0,1,1,0.4786012845
456,0,0,0,0,0
457,0,0.0181818182,0,0.0181818182,0.0087018415
458,0,0.2727272727,0,0.2727272727,0.130527623
459,0,0.2727272727,0,0.2727272727,0.130527623
460,0,0.2727272727,0,0.2727272727,0.130527623
