objectid,name.x,surfline_n.x,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
140,Salgema,NA,0,0,0,0.0966774926,0,0,0.0966774926,0.0353447863
141,Pier do Emissario,NA,0,0,0,0.0868611034,0,0,0.0868611034,0.0317559656
142,Praia do Sobral,NA,0,5.78815e-5,0,0.0749140052,0,0,0.0749718867,0.0274093301
143,"Pico da Barra, Brazil",NA,0,0,0,0.0387834543,0,0,0.0387834543,0.0141790283
144,Pedra Virada,NA,0,0.009537246,0,0.0647650169,0,0,0.0743022629,0.0271645192
145,Praia de Jatiuca,NA,0,0.1037090282,0,0.3813514532,0,0,0.4850604814,0.1773355781
146,Garca Torta,NA,0,0.152735233,0,0.4805348536,0,0,0.6332700866,0.2315202355
147,Mirante da Sirena,NA,0,0.1698489508,0,0.547942556,0,0,0.7177915068,0.2624208252
148,Japaratinga,NA,0,0.1630898516,0,0.5197554046,0.3333333333,0,1.0161785895,0.3715095838
149,Impossivel,NA,0,0.6398976958,0,0.7718691474,0,0,1.4117668432,0.5161345828
150,Serrambi,NA,0,0.5603168095,0,0.5439943263,0,0,1.1043111358,0.4037303823
151,Porto de Galinhas,NA,0,0.1797739464,0,0.148661273,0,0,0.3284352194,0.1200742005
152,Cupe,NA,0,0.1540716719,0,0.1194621933,0,0,0.2735338652,0.1000025522
153,Gaibu,NA,0,0.0842764867,0,0.03682886,0,0,0.1211053467,0.0442754821
154,Bessa,NA,0,0.4610844719,0,0.022454478,0,0,0.4835389499,0.1767793141
155,Saji,NA,0,0.1223290319,0,0.0490071784,0,0,0.1713362103,0.0626396234
156,Farol,NA,0,0.2128000027,0,0.0599028682,0,0,0.2727028709,0.099698745
157,Xilauzinho,NA,0,0.2537130314,0,0.0599028682,0,0,0.3136158996,0.1146563346
158,Mar Aberto,NA,0,0.2928069697,0,0.0599028682,0,0,0.3527098379,0.1289488742
159,Pontal,NA,0,0.3023367152,0,0.0599028682,0,0,0.3622395834,0.1324328994
160,Mar da Frente,NA,0,0.3347633454,0,0.0603421056,0,0,0.395105451,0.1444484889
161,Lajinha,NA,0,0.0950604056,0,0.074059872,0,0,0.1691202776,0.06182949
162,Afogados,NA,0,0.0316360531,0,0.1071495656,0,0,0.1387856187,0.0507392972
163,Sororoca,NA,0,0.0270822519,0,0.1119243237,0,0,0.1390065756,0.0508200779
164,Abacateiro,NA,0,0.0230326188,0,0.1182974758,0,0,0.1413300946,0.0516695443
165,Tibau do Sul,NA,0,0.0060295147,0,0.3112755634,0,0,0.3173050781,0.116005079
166,Tabatinga,NA,0,0.0466723391,0,0.459559679,0,0,0.5062320181,0.1850757813
167,Xoxoline,NA,0,0.0466723391,0,0.3404479936,0,0,0.3871203327,0.1415291713
168,Pirangi Reef,NA,0,0.0466723391,0,0.2731849315,0,0,0.3198572706,0.1169381472
169,Cotovelo,NA,0,0.0378600583,0,0.2887789939,0,0,0.3266390522,0.1194175311
170,Miami,NA,0,0.1803656343,0,0.0273492134,0,0,0.2077148477,0.0759394632
171,Areia Preta,NA,0,0.1869365833,0,0.0322303858,0,0,0.2191669691,0.080126299
172,Praia dos Artistas,NA,0,0.2020950139,0,0.0488345687,0,0,0.2509295826,0.0917385445
173,Genipabu,NA,0,0.1394012532,0,0.0550100085,0,0,0.1944112617,0.0710757417
174,Touros Area,NA,0,0.2145329311,0,0.4134301647,0,0,0.6279630958,0.2295800274
175,Urca da Concei&ccedil;&atilde;o,NA,0,0,0,0,0,0,0,0
