objectid,name.x,surf_spot.x,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
107,SESC,NA,0.1560456862,0.0909090909,1,1.2469547771,0.5766188936
108,Farol,NA,0.1560456862,0.0545454545,1,1.2105911407,0.5598035606
109,Pedro do Sal,NA,0.1560456862,0.0545454545,1,1.2105911407,0.5598035606
110,Itapoa,NA,0.1239430821,0.0909090909,1,1.214852173,0.5617739543
111,Seper,NA,0.1560456862,0.0727272727,1,1.2287729589,0.5682112271
112,Corrente,NA,0.1560456862,0.0727272727,1,1.2287729589,0.5682112271
113,Stela Maris,NA,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
114,Plator,NA,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
115,Aleluia,NA,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
116,Ipitanga,NA,0.1181618237,0.0545454545,1,1.1727072782,0.5422852422
117,Vilas,NA,0.1181618237,0.0545454545,1,1.1727072782,0.5422852422
118,Busca Vida,NA,0.1181618237,0.0363636364,1,1.1545254601,0.5338775758
119,Itacimirim,NA,0.0211970494,0,0,0.0211970494,0.0098019747
120,Praia do Forte,NA,0.0211970494,0.0181818182,0,0.0393788676,0.0182096412
121,Imbassai,NA,0,0,0,0,0
122,Costa do Sauipe,NA,0.0072466225,0,0,0.0072466225,0.0033509952
123,Marlin,NA,0,0,0,0,0
124,Conde,NA,0,0,0,0,0
125,Mangue Seco,NA,0,0,0,0,0
126,Mosqueiro,NA,0.0500809421,0,0,0.0500809421,0.0231585122
127,Aruana,NA,0.0500809421,0.0363636364,1,1.0864445785,0.5023955017
128,Hawaiizinho,NA,0.0751214131,0.0545454545,1,1.1296668676,0.5223824242
129,Praia do Meio,NA,0.06700056,0.0909090909,1,1.1579096509,0.5354424989
130,Pirambu,NA,0.0101517707,0,0,0.0101517707,0.0046943986
131,Ponta do Mangue,NA,0,0,0,0,0
132,Pontal de Peba,NA,0,0,0,0,0
133,Mihai,NA,0,0,0,0,0
134,Pontal do Coruripe,NA,0,0,0,0,0
135,Forjos,NA,0,0,0,0,0
136,Poxim,NA,0,0,0,0,0
137,Jacarecica,NA,0,0,0,0,0
138,Praia do Meio,NA,0.0206802281,0,0,0.0206802281,0.0095629853
139,Praia do Pontal,NA,0.0388494849,0.4363636364,0,0.4752131213,0.2197488388
140,Salgema,NA,0.0517993132,0.4363636364,0,0.4881629496,0.2257371198
141,Pier do Emissario,NA,0.0517993132,0.4363636364,0,0.4881629496,0.2257371198
142,Praia do Sobral,NA,0.0517993132,0.4363636364,0,0.4881629496,0.2257371198
143,"Pico da Barra, Brazil",NA,0.0466786276,0.4363636364,0,0.483042264,0.2233692039
144,Pedra Virada,NA,0.0933572552,0.1818181818,0,0.275175437,0.1272470814
