join_count,id,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_cluster,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,added_normalized,surf_index,surf_subindex
2,262,1,4,1,3,0.1,1,0.75,1,0.3333333333,3.1833333333,0.7880184332,0.7880184332
2,263,1,3,1,3.5,0.1,1,0.5,1,0.5,3.1,0.7649769585,0.7649769585
2,265,1,4,0,3.5,0.1,1,0.75,0,0.5,2.35,0.5576036866,0.5576036866
2,266,1,2,0,3.5,0.1,1,0.25,0,0.5,1.85,0.4193548387,0.4193548387
1,267,0,3,0,3.5,0,0,0.5,0,0.5,1,0.1843317972,0.1843317972
1,268,1,3,1,3,0,1,0.5,1,0.3333333333,2.8333333333,0.6912442396,0.6912442396
2,271,1,4,1,3.5,0.1,1,0.75,1,0.5,3.35,0.8341013825,0.8341013825
2,272,1,3,1,3,0.1,1,0.5,1,0.3333333333,2.9333333333,0.7188940092,0.7188940092
1,274,1,4,1,3.5,0,1,0.75,1,0.5,3.25,0.8064516129,0.8064516129
1,276,1,4,1,3,0,1,0.75,1,0.3333333333,3.0833333333,0.7603686636,0.7603686636
1,278,1,4,0,3.5,0,1,0.75,0,0.5,2.25,0.5299539171,0.5299539171
1,279,1,1,1,3,0,1,0,1,0.3333333333,2.3333333333,0.5529953917,0.5529953917
1,290,1,1,1,3,0,1,0,1,0.3333333333,2.3333333333,0.5529953917,0.5529953917
1,291,0,1,1,3.5,0,0,0,1,0.5,1.5,0.3225806452,0.3225806452
1,296,0,2,1,3,0,0,0.25,1,0.3333333333,1.5833333333,0.3456221198,0.3456221198
1,304,1,2,0,3,0,1,0.25,0,0.3333333333,1.5833333333,0.3456221198,0.3456221198
1,307,1,3,0,3,0,1,0.5,0,0.3333333333,1.8333333333,0.4147465438,0.4147465438
1,308,1,1,1,3.5,0,1,0,1,0.5,2.5,0.599078341,0.599078341
1,309,1,2,1,3.5,0,1,0.25,1,0.5,2.75,0.668202765,0.668202765
1,311,1,3,1,3,0,1,0.5,1,0.3333333333,2.8333333333,0.6912442396,0.6912442396
