id,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,added_surf,surf_subindex
465,3,1,2,0,3.5,0.125,1,0.3333333333,0,0.625,2.0833333333,0.3095238095
466,3,0,3,0,3.5,0.125,0,0.6666666667,0,0.625,1.4166666667,0.1190476191
467,3,1,3,1,3,0.125,1,0.6666666667,1,0.5,3.2916666667,0.6547619048
468,2,1,4,1,3.5,0.0625,1,1,1,0.625,3.6875,0.7678571429
469,8,0,2,0,3.5,0.4375,0,0.3333333333,0,0.625,1.3958333333,0.1130952381
470,10,1,4,1,3.5,0.5625,1,1,1,0.625,4.1875,0.9107142857
471,5,1,3,1,3,0.25,1,0.6666666667,1,0.5,3.4166666667,0.6904761905
472,4,1,1,1,3,0.1875,1,0,1,0.5,2.6875,0.4821428571
473,1,1,4,1,3.5,0,1,1,1,0.625,3.625,0.75
474,6,1,4,0,4,0.3125,1,1,0,0.75,3.0625,0.5892857143
475,6,1,4,1,3,0.3125,1,1,1,0.5,3.8125,0.8035714286
476,5,1,3,0,4,0.25,1,0.6666666667,0,0.75,2.6666666667,0.4761904762
477,3,1,4,0,3.5,0.125,1,1,0,0.625,2.75,0.5
478,1,1,1,1,3,0,1,0,1,0.5,2.5,0.4285714286
479,3,1,3,0,2,0.125,1,0.6666666667,0,0.25,2.0416666667,0.2976190476
480,2,0,2,1,3,0.0625,0,0.3333333333,1,0.5,1.8958333333,0.2559523809
481,7,0,3,1,3.5,0.375,0,0.6666666667,1,0.625,2.6666666667,0.4761904762
482,9,1,4,1,4,0.5,1,1,1,0.75,4.25,0.9285714286
483,9,0,2,0,3.5,0.5,0,0.3333333333,0,0.625,1.4583333333,0.1309523809
484,9,1,3,1,3.5,0.5,1,0.6666666667,1,0.625,3.7916666667,0.7976190476
485,9,1,3,1,3.5,0.5,1,0.6666666667,1,0.625,3.7916666667,0.7976190476
486,4,1,1,1,3,0.1875,1,0,1,0.5,2.6875,0.4821428571
487,4,1,3,1,3,0.1875,1,0.6666666667,1,0.5,3.3541666667,0.6726190476
488,2,1,3,1,3,0.0625,1,0.6666666667,1,0.5,3.2291666667,0.6369047619
489,1,1,1,1,3,0,1,0,1,0.5,2.5,0.4285714286
490,2,0,1,1,1,0.0625,0,0,1,0,1.0625,0.0178571429
491,9,0,2,0,4,0.5,0,0.3333333333,0,0.75,1.5833333333,0.1666666667
492,9,1,3,0,4,0.5,1,0.6666666667,0,0.75,2.9166666667,0.5476190476
493,9,1,1,1,3,0.5,1,0,1,0.5,3,0.5714285714
494,9,1,1,1,3,0.5,1,0,1,0.5,3,0.5714285714
495,9,0,2,1,3,0.5,0,0.3333333333,1,0.5,2.3333333333,0.3809523809
496,9,0,1,0,3.5,0.5,0,0,0,0.625,1.125,0.0357142857
497,9,0,2,0,4,0.5,0,0.3333333333,0,0.75,1.5833333333,0.1666666667
498,6,1,4,1,3.5,0.3125,1,1,1,0.625,3.9375,0.8392857143
499,7,1,3,0,3.5,0.375,1,0.6666666667,0,0.625,2.6666666667,0.4761904762
500,7,1,3,1,3,0.375,1,0.6666666667,1,0.5,3.5416666667,0.7261904762
501,6,1,1,0,3.5,0.3125,1,0,0,0.625,1.9375,0.2678571429
502,2,1,3,0,3.5,0.0625,1,0.6666666667,0,0.625,2.3541666667,0.3869047619
503,2,1,2,0,3,0.0625,1,0.3333333333,0,0.5,1.8958333333,0.2559523809
504,2,1,3,1,3,0.0625,1,0.6666666667,1,0.5,3.2291666667,0.6369047619
505,5,1,1,0,3.5,0.25,1,0,0,0.625,1.875,0.25
506,1,1,3,0,3,0,1,0.6666666667,0,0.5,2.1666666667,0.3333333333
507,1,1,1,1,3.5,0,1,0,1,0.625,2.625,0.4642857143
508,1,1,2,1,3.5,0,1,0.3333333333,1,0.625,2.9583333333,0.5595238095
509,1,1,4,0,5,0,1,1,0,1,3,0.5714285714
510,1,1,3,1,3,0,1,0.6666666667,1,0.5,3.1666666667,0.6190476191
537,1,1,4,1,3,0,1,1,1,0.5,3.5,0.7142857143
538,2,0,3,1,1,0.0625,0,0.6666666667,1,0,1.7291666667,0.2083333333
539,16,1,1,1,3.5,0.9375,1,0,1,0.625,3.5625,0.7321428571
540,1,1,3,0,1,0,1,0.6666666667,0,0,1.6666666667,0.1904761905
541,4,1,3,1,3,0.1875,1,0.6666666667,1,0.5,3.3541666667,0.6726190476
542,9,1,3,1,3.5,0.5,1,0.6666666667,1,0.625,3.7916666667,0.7976190476
543,3,0,4,1,3.5,0.125,0,1,1,0.625,2.75,0.5
544,2,1,3,1,3.5,0.0625,1,0.6666666667,1,0.625,3.3541666667,0.6726190476
545,9,0,2,0,3.5,0.5,0,0.3333333333,0,0.625,1.4583333333,0.1309523809
546,6,1,1,1,3.5,0.3125,1,0,1,0.625,2.9375,0.5535714286
547,1,1,3,1,3,0,1,0.6666666667,1,0.5,3.1666666667,0.6190476191
548,1,0,2,1,3,0,0,0.3333333333,1,0.5,1.8333333333,0.2380952381
