id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
138,0,0.1330917894,0,0,0,0,0.1330917894,0.0457496232
139,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0
147,0,0.5836961274,0,0.7631361474,0,0,1.3468322748,0.462966719
148,0,0.4831684336,0,0.7594033672,0,0,1.2425718008,0.4271277133
149,0,0.1867623962,0,0.7139825048,0,0,0.900744901,0.3096264615
150,0,0.6568837786,0,0.7531161273,0,0,1.4099999059,0.4846802697
151,0,0.8431534551,0,0.8864727514,0,0,1.7296262065,0.5945501789
152,0,0,0,0.8385194732,0,0,0.8385194732,0.2882367884
153,0,0.1655651274,0,0,0,0,0.1655651274,0.0569121674
154,0,0.1613988209,0,0,0,0,0.1613988209,0.0554800208
155,0,0,0,0,0,0,0,0
156,0,0.0334164688,0,0,0,0,0.0334164688,0.0114867406
157,0,0.1240073521,0,0,0,0,0.1240073521,0.0426268942
158,0,0.511210831,0,0.3996799365,0,0,0.9108907675,0.3131140513
159,0,0.5445038164,0,0.3991422165,0,0,0.9436460329,0.32437350659999997
160,0,0.2330915944,0,0.1200124278,0,0,0.3531040222,0.1213777051
161,0,0.1728893151,0,0,0,0,0.1728893151,0.0594298195
162,0,0.2283246133,0,0,0,0,0.2283246133,0.0784854202
163,0,0.1937119024,0,0.1950008253,0,0,0.3887127277,0.1336180158
164,0,0.1173580795,0,0.4172390696,0,0,0.5345971491,0.1837650409
165,0,0.1072497726,0,0.3104369549,0,0,0.4176867275,0.1435776803
166,0,0.1047026444,0,0.3019583836,0,0,0.406661028,0.1397876524
167,0,0,0,0.2961588463,0,0,0.2961588463,0.1018030916
168,0,0.0976752667,0,0.4797885605,0,0,0.5774638272,0.1985002427
169,0,0.3016646341,0,0.2426662655,0,0,0.5443308996,0.187110968
170,0,0.4735866464,0,8.281615e-4,0,0,0.4744148079,0.1630776684
171,0,0,0,0,0,0,0,0
172,0,0.0934971722,0,0,0,0,0.0934971722,0.0321391757
