id,sum_10km,hab_10km,normalized_carbon,normalized_cp,climate_added,climate_index
172,401311.551319,0.241447748031,0.3602949116,0.3431933288,0.7034882404,0.4442836475
173,413809.370436,0.249564902074,0.3715153727,0.3547310347,0.7262464074,0.4586564271
174,437800.300352,0.28702241186,0.3930542742,0.4079730615,0.8010273357,0.5058838599
175,285301.905785,0.536879138721,0.2561422032,0.7631188954,1.0192610986,0.6437080432
176,43.1974449158,0.023059660712,3.87824e-5,0.032776954,0.032815736399999997,0.0207245754
177,0,0.111685035879,0,0.1587488786,0.1587488786,0.1002568725
178,0,0.0577406467807,0,0.0820724357,0.0820724357,0.0518323392
179,0,0,0,0,0,0
180,167825.108236,0.114312011422,0.1506722952,0.1624828562,0.3131551514,0.1977711992
181,150885.183428,0.109371231494,0.1354637404,0.1554600418,0.2909237822,0.1837311154
182,254345.366884,0.149471086482,0.2283496231,0.2124578926,0.4408075157,0.2783892604
183,5366.58295822,0.299154940119,0.0048180834,0.4252182121,0.4300362955,0.2715867629
184,4036.9950695000002,0.18439265871,0.003624388,0.262095343,0.265719731,0.1678136528
185,15241.7899933,0.26675288015,0.0136839803,0.3791619912,0.3928459715,0.2480994437
186,15241.7899933,0.301651315716,0.0136839803,0.4287665552,0.4424505355,0.2794268994
187,15241.7899933,0.301651315716,0.0136839803,0.4287665552,0.4424505355,0.2794268994
188,15241.7899933,0.302081989511,0.0136839803,0.429378714,0.4430626943,0.2798135045
189,226542.229876,0.531720433679,0.2033881467,0.7557863227,0.9591744694,0.6057607041
190,168584.041725,0.469725080066,0.1513536608,0.6676662556,0.8190199164,0.517246963
191,159568.994574,0.471659441259,0.1432600099,0.6704157526,0.8136757625,0.5138718956
192,98393.6613598,0.494915326507,0.0883371919,0.7034716197,0.7918088116,0.500061958
193,110153.359304,0.490771896978,0.0988949726,0.6975821575,0.7964771301,0.5030102057
194,315587.165005,0.506359615963,0.2833321128,0.719738509,1.0030706218,0.6334830477
195,0,0.0327169514542,0,0.046503807,0.046503807,0.0293691917
196,0,0.0249251612458,0,0.0354285726,0.0354285726,0.0223746959
197,0,0.031247251032,0,0.0444147779,0.0444147779,0.0280498783
198,0,0.0445070762235,0,0.0632622659,0.0632622659,0.0399528928
199,0,0.0978719719808,0,0.1391150182,0.1391150182,0.0878572294
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0.0149613126422,0,0.0212659788,0.0212659788,0.0134303974
209,0,0.0441835134975,0,0.0628023545,0.0628023545,0.0396624386
210,0,0.0441835134975,0,0.0628023545,0.0628023545,0.0396624386
211,0,0.0748744263206,0,0.1064263544,0.1064263544,0.0672129059
212,0,0.266512705472,0,0.3788206074,0.3788206074,0.2392418118
213,0,0.26773893859,0,0.3805635726,0.3805635726,0.2403425707
