objectid,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
132,2.35761e-5,0.2445024393,0.001012881,0,0.0339322001,0.2794710965,0.0632751887
133,5.202352e-4,0.4024890451,0.0070998958,0,0.0831774294,0.4932866055,0.1168578611
134,5.202352e-4,0.4008407207,0.0070998958,0,0.0962124148,0.5046732665,0.1197113853
135,6.341772e-4,0.2955412778,0.0165530914,0,0.0914448082,0.4041733546,0.0945258696
136,9.813649e-4,0.2547794399,0.0165530914,0,0.0555482706,0.3278621668,0.0754021054
137,9.462511e-4,0.2815475717,0.0092928497999999991,0,0.1570450433,0.4488317159,0.1057173606
138,0.0052922881,0.4146294844,0.007910633,0,0.1622360506,0.5900684561,0.1411116218
139,0.1396598408,0.6513092292,0.0789090504,0.0952380952,0.4026699774,1.367786193,0.3360095264
140,0.1313047649,0.7077341529,0.1048495776,0.0952380952,0.3646233428,1.4037499334,0.3450221248
141,0.1359513941,0.7094137238,0.1048495776,0.0952380952,0.3790628504,1.4245156411,0.3502260603
142,0.1378728839,0.7115019544,0.1048495776,0.0952380952,0.3922509389,1.44171345,0.3545358718
143,0.1335352935,0.736514849,0.1463445482,0.0952380952,0.3774724508,1.4891052367,0.3664123657
144,0.1049096321,0.5799068047,0.2918416057,0,0.379744465,1.3564025075,0.3331567478
145,7.955707e-4,0.4373433321,0.1494858845,0,0.1820238356,0.7696486229,0.1861148364
146,0.0016838692,0.4452070243,0.1017320229,0,0.193120383,0.7417432994,0.1791216963
147,0.0015648521,0.4317188064,0.062715602,0,0.1256134077,0.6216126682,0.1490166759
148,0.0037347546,0.4037684884,1.239527e-4,0,0.0707098093,0.478337005,0.1131114558
149,0.0283721966,0.4264575125,0.0309225973,0,0.0887060435,0.5744583499,0.1371996922
150,0.0560771711,0.4441974985,0.0309225973,0,0.1413149996,0.6725122665,0.1617722357
151,0.0719239779,0.5220716002,0.0309225973,0,0.1436956103,0.7686137857,0.1858555037
152,0.0810601534,0.5496069477,0.0461709423,0,0.1573365759,0.8341746193,0.2022852037
153,0.1188061545,0.7882839982,0.0577288117,0.1428571429,0.2119178837,1.319593991,0.3239324465
154,0.4050845351,0.7231175425,0.0850268732,0,0.5386356158,1.7518645666,0.4322604753
155,0.0027020639,0.1526257217,0.0028743336,0,0.0548122754,0.2130143946,0.046620982
156,0.0041102777,0.1783611099,0.0028743336,0,0.0510128504,0.2363585716,0.052471088
157,0.0033179602,0.1721723143,0.0050341374,0,0.0438763633,0.2244007752,0.0494744359
158,0.0032691086,0.1818221022,0.003603997,0,0.0470894323,0.2357846401,0.0523272594
159,0.0018562228,0.1874783642,0.003603997,0,0.0471580507,0.2400966347,0.0534078555
160,0.0021558179,0.2019225736,0.0046682247,0,0.0596528057,0.2683994219,0.0605006009
161,0.0094374034,0.3296116368,0.0046682247,0,0.0744602535,0.4181775184,0.0980353462
162,0.0116488596,0.3927435352,0.0040035283,0,0.0795194872,0.4879154103,0.1155118269
163,0.011535894,0.3947998617,0.0040035283,0,0.0773979355,0.4877372195,0.1154671718
164,0.011535894,0.3996598824,0.0039131582,0,0.0765380416,0.4916469762,0.1164469661
165,0.0188035882,0.4454812875,0.0056812859,0,0.1244647598,0.5944309214,0.1422048659
166,0.0256119807,0.4253346288,0.0599095145,0,0.1360575686,0.6469136926,0.1553571725
167,0.0187014498,0.4443092212,0.0891919004,0,0.1318204168,0.6840229882,0.1646568498
168,0.0155191921,0.4592820152,0.0891919004,0,0.1343992609,0.6983923686,0.1682578505
169,0.052160779,0.5359619346,0.0966377107,0,0.2936584174,0.9784188417,0.2384331471
170,0.2937375174,0.8191164729,0.1040002854,0.0476190476,0.6187090117,1.883182335,0.4651690187
171,0.2921036403,0.8185468134,0.1040002854,0.0476190476,0.6371919581,1.8994617448,0.46924867730000003
172,0.2783877644,0.8107638348,0.0826245689,0.0476190476,0.6780664957,1.8974617114,0.4687474642
173,0.0545007625,0.6645822957,0.0650584163,0.0476190476,0.3522320533,1.1839925754,0.289950411
174,0.0027764921,0.2536011817,0.0069399103,0,0.0811663808,0.3444839649,0.0795675673
175,4.308603e-4,0.2361317278,6.421039e-4,0,0.0520218184,0.2892265104,0.0657199185
176,7.294602e-4,0.2396203368,9.08026e-5,0,0.0588506806,0.2992912802,0.0682421737
177,0.0090153678,0.2627316739,0.0012517782,0.0952380952,0.0240105082,0.3922474233,0.091537203
178,0.5176298291,0.9839686819,0.6719022273,0.0476190476,0.8887245074,3.1098442933,0.7725734072
179,0.6816720558,0.9955453758,0.416983755,0.0476190476,0.9491697613,3.0909899955,0.7678484756
180,0.7016089066,0.9174985095,0.416983755,0,0.76055033,2.7966415011,0.6940840466
181,0.0414070296,0.7288886657,0.0899853419,0.0476190476,0.1411345254,1.0490346102,0.2561296257
182,0.0163341447,0.4973666397,0.0133793256,0,0.1346244425,0.6617045525,0.159063797
183,0.0115439189,0.449106602,0.0093764458,0.0476190476,0.136417785,0.6540637993,0.1571490062
184,0.0058298611,0.4487170405,0.0093764458,0.0476190476,0.1120795184,0.6236219134,0.1495201975
185,0.0058298611,0.4495954117,0.0093764458,0.0476190476,0.1174776245,0.6298983907,0.1510930976
186,0.0057964424,0.4552261035,0.0093764458,0.0476190476,0.1015466117,0.619564651,0.148503438
187,3.474453e-4,0.0817250634,0.0329937606,0,0.0358734429,0.1509397122,0.0310649198
188,0.1098203706,0.8164109199,0.3130721102,0,0.5044048793,1.74370828,0.4302164906
189,0.1134671275,0.8531593048,0.2167046452,0,0.5275712788,1.7109023563,0.4219952485
190,0.1124393,0.887151658,0.1289839625,0,0.7245940372,1.8531689577,0.4576475954
191,0.1044584883,0.880208878,0.1289839625,0,0.7790025173,1.8926538461,0.4675426018
192,0.0338224027,0.7403267234,0.1289839625,0,0.5080918181,1.4112249067,0.3468953708
193,2.70169e-4,0.2083369068,0,0,0.0369840392,0.245591115,0.0547847852
194,8.28665e-5,0.2000544426,0.023098443,0,0.0171089971,0.2403447492,0.0534700335
195,0.0030118485,0.5597250165,0.0089296395,0,0.0703203932,0.6419868977,0.1541225061
196,0.0064149686,0.5218236598,0.0089296395,0.0476190476,0.1265361048,0.7113234203,0.1714984026
197,0.0190967952,0.3961547065,0.0089296395,0.0952380952,0.1219492602,0.6413684966,0.1539675333
198,1.7782e-6,0.2282815838,2.486261e-4,0,0.0552115277,0.2837435158,0.0643458671
199,0.007533993,0.5076747386,0.0132604174,0.0476190476,0.1789025636,0.7549907602,0.1824415413
200,0.007533993,0.5286178137,0.0132604174,0.0476190476,0.1882064007,0.7852376724,0.1900214891
201,0.0077574501,0.6453349483,0.0132604174,0.0476190476,0.2283360969,0.9423079603,0.2293836748
202,0.0096186026,0.6568188222,0.0149521557,0.0476190476,0.2311927296,0.9602013577,0.2338678025
203,0.0334368894,0.5280386868,0.0075890406,0,0.1791952916,0.7482599084,0.1807547739
204,0.0247758451,0.6235846188,0.0108936053,0,0.2105886451,0.8698427143,0.2112237127
205,0.0245589047,0.6316700952,0.0108936053,0,0.2091524549,0.8762750601,0.2128356738
206,0.0238794303,0.6440925934,0.0110836782,0,0.1943689372,0.8734246391,0.2121213515
207,0.0034099693,0.5050784686,0.0068952297,0,0.1385851888,0.6539688564,0.1571252133
208,0.0016079224,0.4685216225,0.0070955719,0,0.1098531733,0.5870782901,0.1403622791
209,0.0491647913,0.5473526243,0.0039252652,0,0.2089327217,0.8093754025,0.1960704613
210,0.0362778446,0.5975000685,0.0042641173,0,0.1854292579,0.8234712883,0.1996029236
211,0.0362778446,0.5861547877,0.0042641173,0,0.1891144837,0.8158112333,0.1976832957
212,0.0362609639,0.6247710397,0.0064891404,0,0.1647998932,0.8323210372,0.2018206917
213,0.0362778446,0.5914837401,0.0064891404,0,0.1884031245,0.8226538496,0.1993980716
214,0.0362778446,0.5836297437,0.0064891404,0,0.1886060591,0.8150027878,0.1974806974
215,0.0362398806,0.5720813715,0.0044831965,0,0.186751678,0.7995561266,0.1936097276
216,0.0362398806,0.5688296534,0.0044831965,0,0.1881806225,0.797733353,0.19315293620000001
217,0.0028757388,0.4831653322,0.0048132566,0,0.1566529214,0.647507249,0.1555059192
218,0.0047561921,0.5386262992,0.0079344146,0,0.1645951954,0.7159121013,0.172648337
219,3.012362e-4,0.4831616063,0.0109968392,0,0.0790034849,0.5734631666,0.1369502969
220,0.0085297999,0.5996987691,0.0092791574,0,0.1324364653,0.7499441917,0.1811768593
221,0.0497520697,0.4778320183,0.0111240349,0,0.095023992400000007,0.6337321153,0.1520538381
222,0.0583187596,0.3995314031,0.0111240349,0,0.0795504815,0.5485246791,0.130700653
223,0.0570437908,0.4065273223,0.007211237,0,0.0765524388,0.5473347889,0.1304024637
224,0.0546759393,0.4131417562,0.007211237,0,0.0765706827,0.5515996152,0.1314712392
225,0.0499200214,0.4199312879,0.007211237,0,0.0711385231,0.5482010694,0.1306195556
226,0.0540565489,0.4003353566,0.007211237,0,0.0778199154,0.5394230579,0.1284197652
227,0.0279119248,0.4789923228,0.0086348915,0.0476190476,0.0757157129,0.6388738996,0.1533423814
228,0.028409043,0.4906614823,0.0086348915,0.0476190476,0.0782931945,0.6536176589,0.1570372023
229,0.0454848047,0.5465135262,0.0086348915,0.0476190476,0.0882872864,0.7365395564,0.177817626
230,0.0693385192,0.5505057646,0.0043174458,0.0476190476,0.1085813641,0.7803621413,0.1887996694
231,0.0732892855,0.5840662247,0.0016301222,0,0.1074433238,0.7664289562,0.1853079803
232,0.0442711642,0.5470979552,0.0048514513,0,0.0822300486,0.6784506193,0.1632604009
233,0.0418226378,0.552917201,0.0048514513,0,0.0834951149,0.683086405,0.1644221398
234,0.0156603083,0.6390157827,0.0029597312,0.0952380952,0.1233910142,0.8762649316,0.2128331355
235,0.0104767874,0.6763750224,0.0029597312,0.0952380952,0.1210963302,0.9061459664,0.2203213936
236,0.0115915074,0.6046739089,0.0055576935,0.0952380952,0.1739549334,0.8910161384,0.2165298229
237,0.0098391763,0.6015369063,0.0055576935,0.0952380952,0.1662672262,0.8784390975,0.2133779867
238,0.006956042,0.5817704007,0.0073593317,0,0.1563415719,0.7524273463,0.1817991437
239,0.0071977988,0.5809568577,0.0073593317,0,0.162237515,0.7577515032,0.18313339
240,0.0029379333,0.5746607875,0.0073593317,0,0.162626202,0.7475842545,0.1805854535
241,0.0032496706,0.5664422421,0.0073593317,0,0.1785020808,0.7555533252,0.1825825214
242,0.0063343602,0.5739393928,0.0073593317,0,0.1935171894,0.7811502741,0.1889971774
243,0.0065845345,0.5708266498,0.0073593317,0,0.1861312371,0.7709017531,0.1864288738
244,0.0053901678,0.5652571208,0.0073593317,0,0.1343518168,0.7123584371,0.1717577803
245,0.0065420916,0.5555656255,0.0062070039,0,0.1783888739,0.7467035949,0.1803647581
246,0.0066643452,0.5049995014,0.02906691,0,0.1806079085,0.7213386651,0.1740082467
247,0.0074355316,0.4961285406,0.02906691,0,0.1753966421,0.7080276243,0.1706724684
248,0.0025588247,0.4531406596,0.0644584708,0,0.1048475571,0.6250055122,0.1498669307
249,0.002446181,0.4218010324,0.0644584708,0,0.0997204216,0.5884261058,0.1407000449
250,0.0036145991,0.4522611888,0.0823600884,0,0.1116198895,0.6498557658,0.156094463
251,0.0040086816,0.4375226825,0.1227099377,0,0.0704133165,0.6346546183,0.1522850195
252,0.0046402371,0.4306337752,0.1227099377,0,0.0664466048,0.6244305548,0.149722845
