OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Length_1,Shape_Area_1,F2010,SLR_employment_per_capita,F2010_1,F2010_12,F2010_12_13,F2010_12_13_14,F2010_12_13_14_15,F2010_12_13_14_15_16,F2010_12_13_14_15_16_17,F2010_12_13_14_15_16_17_18,F2010_12_13_14_15_16_17_18_19,F2010_12_13_14_15_16_17_18_19_20,F2010_12_13_14_15_16_17_18_19_20_21,F2010_12_13_14_15_16_17_18_19_20_21_22,Shape_Length,Shape_Area
20,2,20,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,10000.000000000000000,20,3510500,Caraguatatuba,SP,"Sports, recreation and leisure activities",66.000000000000000,267.000000000000000,0.000000000000000,0.000000000000000,100840.000000000000000,0.002647758825863,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,62831.853071795863798,314159265.358979284763336
21,2,21,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,10000.000000000000000,21,3510500,Caraguatatuba,SP,"Sports, recreation and leisure activities",66.000000000000000,267.000000000000000,0.000000000000000,0.000000000000000,100840.000000000000000,0.002647758825863,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,62831.853071795863798,314159265.358979284763336
22,1,22,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,10000.000000000000000,22,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,62831.853071795863798,314159265.358979284763336
23,2,23,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,10000.000000000000000,23,3510500,Caraguatatuba,SP,"Sports, recreation and leisure activities",66.000000000000000,267.000000000000000,0.000000000000000,0.000000000000000,100840.000000000000000,0.002647758825863,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,62831.853071795863798,314159265.358979284763336
24,2,24,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,10000.000000000000000,24,3510500,Caraguatatuba,SP,"Sports, recreation and leisure activities",66.000000000000000,267.000000000000000,0.000000000000000,0.000000000000000,100840.000000000000000,0.002647758825863,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,62831.853071795863798,314159265.358979284763336
25,2,25,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,10000.000000000000000,25,3510500,Caraguatatuba,SP,"Sports, recreation and leisure activities",66.000000000000000,267.000000000000000,0.000000000000000,0.000000000000000,100840.000000000000000,0.002647758825863,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,62831.853071795863798,314159265.358979284763336
26,2,26,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,10000.000000000000000,26,3510500,Caraguatatuba,SP,"Sports, recreation and leisure activities",66.000000000000000,267.000000000000000,0.000000000000000,0.000000000000000,100840.000000000000000,0.002647758825863,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,62831.853071795863798,314159265.358979284763336
27,2,27,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,10000.000000000000000,27,3510500,Caraguatatuba,SP,"Sports, recreation and leisure activities",66.000000000000000,267.000000000000000,0.000000000000000,0.000000000000000,100840.000000000000000,0.002647758825863,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,100840.000000000000000,62831.853071795863798,314159265.358979284763336
28,3,28,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,10000.000000000000000,28,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,62831.853071795863798,314159265.358979284763336
29,4,29,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,10000.000000000000000,29,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,62831.853071795863798,314159265.358979284763336
