OBJECTID,Name,ZONE_CODE,COUNT,AREA,MEAN
114,Busca Vida,114,189.000000000000000,189000000.000000000000000,171.793650793650784
115,Itacimirim,115,299.000000000000000,299000000.000000000000000,169.260869565217405
116,Praia do Forte,116,310.000000000000000,310000000.000000000000000,169.229032258064507
117,Imbassai,117,239.000000000000000,239000000.000000000000000,165.364016736401680
118,Costa do Sauipe,118,310.000000000000000,310000000.000000000000000,164.758064516129025
119,Marlin,119,250.000000000000000,250000000.000000000000000,164.867999999999995
120,Conde,120,273.000000000000000,273000000.000000000000000,164.476190476190482
121,Mangue Seco,121,315.000000000000000,315000000.000000000000000,164.196825396825403
122,Mosqueiro,122,240.000000000000000,240000000.000000000000000,160.795833333333320
123,Aruana,123,244.000000000000000,244000000.000000000000000,129.885245901639337
124,Hawaiizinho,124,237.000000000000000,237000000.000000000000000,127.603375527426167
125,Pirambu,125,308.000000000000000,308000000.000000000000000,166.324675324675326
126,Ponta do Mangue,126,259.000000000000000,259000000.000000000000000,165.536679536679543
127,Pontal de Peba,127,244.000000000000000,244000000.000000000000000,174.139344262295083
128,Mihai,128,279.000000000000000,279000000.000000000000000,174.960573476702507
129,Pontal do Coruripe,129,232.000000000000000,232000000.000000000000000,176.008620689655174
130,Forjos,130,209.000000000000000,209000000.000000000000000,177.478468899521545
131,Poxim,131,249.000000000000000,249000000.000000000000000,177.530120481927725
132,Jacarecica,132,312.000000000000000,312000000.000000000000000,178.621794871794862
133,Praia do Pontal,133,302.000000000000000,302000000.000000000000000,179.119205298013242
134,Salgema,134,241.000000000000000,241000000.000000000000000,178.369294605809131
135,Pier do Emissario,135,241.000000000000000,241000000.000000000000000,178.336099585062243
136,Praia do Sobral,136,234.000000000000000,234000000.000000000000000,178.222222222222229
137,"Pico da Barra, Brazil",137,209.000000000000000,209000000.000000000000000,177.937799043062199
138,Pedra Virada,138,204.000000000000000,204000000.000000000000000,177.882352941176464
139,Praia de Jatiuca,139,243.000000000000000,243000000.000000000000000,176.061728395061721
140,Garca Torta,140,294.000000000000000,294000000.000000000000000,175.836734693877560
141,Mirante da Sirena,141,297.000000000000000,297000000.000000000000000,174.814814814814810
142,Japaratinga,142,204.000000000000000,204000000.000000000000000,173.862745098039227
143,Impossivel,143,268.000000000000000,268000000.000000000000000,169.712686567164184
144,Serrambi,144,301.000000000000000,301000000.000000000000000,169.870431893687709
145,Porto de Galinhas,145,257.000000000000000,257000000.000000000000000,169.513618677042814
146,Cupe,146,252.000000000000000,252000000.000000000000000,169.460317460317469
147,Gaibu,147,300.000000000000000,300000000.000000000000000,167.133333333333326
148,Bessa,148,279.000000000000000,279000000.000000000000000,150.774193548387103
149,Saji,149,312.000000000000000,312000000.000000000000000,139.551282051282044
150,Xilauzinho,150,298.000000000000000,298000000.000000000000000,138.822147651006702
151,Mar Aberto,151,297.000000000000000,297000000.000000000000000,138.703703703703695
152,Pontal,152,290.000000000000000,290000000.000000000000000,138.603448275862064
153,Mar da Frente,153,303.000000000000000,303000000.000000000000000,138.617161716171609
154,Lajinha,154,304.000000000000000,304000000.000000000000000,137.394736842105260
155,Afogados,155,302.000000000000000,302000000.000000000000000,136.860927152317885
156,Sororoca,156,292.000000000000000,292000000.000000000000000,136.787671232876704
157,Abacateiro,157,285.000000000000000,285000000.000000000000000,136.743859649122811
158,Tibau do Sul,158,212.000000000000000,212000000.000000000000000,136.471698113207538
159,Tabatinga,159,225.000000000000000,225000000.000000000000000,134.137777777777785
160,Xoxoline,160,269.000000000000000,269000000.000000000000000,133.620817843866178
161,Pirangi Reef,161,287.000000000000000,287000000.000000000000000,133.445993031358881
162,Cotovelo,162,314.000000000000000,314000000.000000000000000,133.101910828025467
163,Miami,163,305.000000000000000,305000000.000000000000000,130.993442622950823
164,Areia Preta,164,301.000000000000000,301000000.000000000000000,130.976744186046517
165,Praia dos Artistas,165,289.000000000000000,289000000.000000000000000,130.885813148788941
166,Genipabu,166,184.000000000000000,184000000.000000000000000,129.793478260869563
167,Touros Area,167,199.000000000000000,199000000.000000000000000,127.969849246231149
168,Urca da Concei&ccedil;&atilde;o,168,302.000000000000000,302000000.000000000000000,93.000000000000000
169,Cocoa das Lavadeiras,169,299.000000000000000,299000000.000000000000000,108.083612040133772
170,Baia das Ratas,170,112.000000000000000,112000000.000000000000000,2.000000000000000
171,Volta da Jurema,171,267.000000000000000,267000000.000000000000000,132.131086142322090
172,Portao,172,274.000000000000000,274000000.000000000000000,132.208029197080293
173,Barra do Ceara,173,268.000000000000000,268000000.000000000000000,132.619402985074629
174,Praia do Pecem,174,305.000000000000000,305000000.000000000000000,133.000000000000000
175,Tabinha,175,279.000000000000000,279000000.000000000000000,132.953405017921142
176,Pedra do Meio,176,250.000000000000000,250000000.000000000000000,132.280000000000001
177,Curral,177,233.000000000000000,233000000.000000000000000,132.240343347639481
178,Outside,178,220.000000000000000,220000000.000000000000000,132.213636363636368
179,Atins,179,282.000000000000000,282000000.000000000000000,151.765957446808500
180,Ponta d'Areia,180,315.000000000000000,315000000.000000000000000,155.380952380952380
181,S&atilde;o Marcos,181,314.000000000000000,314000000.000000000000000,158.296178343949038
182,Calhau,182,311.000000000000000,311000000.000000000000000,157.771704180064319
183,Olho D'Agu,183,316.000000000000000,316000000.000000000000000,157.598101265822777
184,Ponta do Farol,184,309.000000000000000,309000000.000000000000000,157.482200647249186
185, ,185,37186.000000000000000,37186000000.000000000000000,176.717931479589083
