OBJECTID,Name,ZONE_CODE,COUNT,AREA,MEAN
158,Tibau do Sul,158,195.000000000000000,310947687.128750324249268,1721.022001452323821
159,Tabatinga,159,159.000000000000000,253541960.274211823940277,1799.966151975235789
160,Xoxoline,160,158.000000000000000,251947356.750474631786346,1855.369844460789182
161,Pirangi Reef,161,160.000000000000000,255136563.797948986291885,1894.663014984130768
162,Cotovelo,162,98.000000000000000,156271145.326243758201599,2012.657682457748706
163,Miami,163,57.000000000000000,90892400.853019326925278,2444.345972964638349
164,Areia Preta,164,55.000000000000000,87703193.805544972419739,2444.431218927556984
165,Praia dos Artistas,165,43.000000000000000,68567951.520698785781860,2444.850262309229493
166,Genipabu,166,86.000000000000000,137135903.041397571563721,2272.685835017714453
167,Touros Area,167,91.000000000000000,145108920.660083502531052,2907.293228987809016
168,Urca da Concei&ccedil;&atilde;o,168,144.000000000000000,229622907.418154090642929,2656.558085123697765
169,Cocoa das Lavadeiras,169,143.000000000000000,228028303.894416898488998,2668.479864373907276
170,Baia das Ratas,170,200.000000000000000,318920704.747436225414276,2571.876876831054688
171,Volta da Jurema,171,125.000000000000000,199325440.467147648334503,2762.497699218749858
172,Portao,172,125.000000000000000,199325440.467147648334503,2732.726539062499796
173,Barra do Ceara,173,155.000000000000000,247163546.179263085126877,2637.416377898185601
174,Praia do Pecem,174,98.000000000000000,156271145.326243758201599,2742.974011479591809
175,Tabinha,175,107.000000000000000,170622577.039878398180008,2876.359359028183462
176,Pedra do Meio,176,111.000000000000000,177000991.134827107191086,2881.946410033080156
177,Curral,177,131.000000000000000,208893061.609570741653442,2916.292027597208744
178,Outside,178,143.000000000000000,228028303.894416898488998,2947.312542681927425
179,Atins,179,148.000000000000000,236001321.513102829456329,1705.685527904613537
180,Ponta d'Areia,180,112.000000000000000,178595594.658564299345016,1371.995554242815388
181,S&atilde;o Marcos,181,118.000000000000000,188163215.800987392663956,1429.143160545219871
182,Calhau,182,135.000000000000000,215271475.704519450664520,1362.468951642071715
183,Olho D'Agu,183,152.000000000000000,242379735.608051538467407,1308.300606175472922
184,Ponta do Farol,184,195.000000000000000,310947687.128750324249268,1304.746067457932668
185, ,185,23462.000000000000000,37412587873.921745300292969,1624.494942831999197
