OBJECTID,Name,Surf_Spot,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,high_perce
53,Itaipuacu, ,10000.000000000000000,52,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
54,Barra de Marica, ,10000.000000000000000,53,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
55,Camboinhas, ,10000.000000000000000,54,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
56,Pirantininga, ,10000.000000000000000,55,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
57,Jacone, ,10000.000000000000000,56,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
58,Figueira, ,10000.000000000000000,57,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
59,Praia do Fora, ,10000.000000000000000,58,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
60,Laje do Pao de Acucar, ,10000.000000000000000,59,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
61,Canal, ,10000.000000000000000,60,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
62,Praia Seca, ,10000.000000000000000,61,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
63,Caravelas, ,10000.000000000000000,62,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
64,Tucuns, ,10000.000000000000000,63,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
65,Praia Brava, ,10000.000000000000000,64,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
66,Marataizes, ,10000.000000000000000,65,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
67,Ponta do Ubu, ,10000.000000000000000,66,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
68,Ponta dos Castelhanos, ,10000.000000000000000,67,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
69,Maimba, ,10000.000000000000000,68,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
70,Praia do Morro, ,10000.000000000000000,69,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
71,Ponta de Bororo, ,10000.000000000000000,70,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
72,Tropical, ,10000.000000000000000,71,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
73,Dunas de Ule, ,10000.000000000000000,72,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
74,Guarapari - Ule, ,10000.000000000000000,73,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
75,Ponta da Fruta, ,10000.000000000000000,74,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
76,Coral Dois, ,10000.000000000000000,75,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
77,Ponta da Belina, ,10000.000000000000000,76,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
78,Coral Um, ,10000.000000000000000,77,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
79,Barrinha, ,10000.000000000000000,78,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
80,Praia de Camburi, ,10000.000000000000000,79,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
81,Velzyland, ,10000.000000000000000,80,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
82,Ponta da Cacao, ,10000.000000000000000,81,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
83,"Manguinhos, Brazil", ,10000.000000000000000,82,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
84,Praia da Baleia, ,10000.000000000000000,83,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
85,Jacaraipe - Solemar, ,10000.000000000000000,84,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
86,Xa, ,10000.000000000000000,85,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
87,Nova Almeida, ,10000.000000000000000,86,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
88,Praia Grande, ,10000.000000000000000,87,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
89,Regencia, ,10000.000000000000000,88,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
90,Guriri, ,10000.000000000000000,89,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
91,Milionarios, ,10000.000000000000000,90,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
92,Sul, ,10000.000000000000000,91,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
93,Pedra da Cachorra, ,10000.000000000000000,92,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
94,Jardim Atlantico, ,10000.000000000000000,93,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
95,Baduska, ,10000.000000000000000,94,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
96,Norte, ,10000.000000000000000,95,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
97,Havaizinho, ,10000.000000000000000,96,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
98,Sao Jose, ,10000.000000000000000,97,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
99,Corals, ,10000.000000000000000,98,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
100,Tony, ,10000.000000000000000,99,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
101,Meridien, ,10000.000000000000000,100,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
102,Amaralina, ,10000.000000000000000,101,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
103,Tubao, ,10000.000000000000000,102,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
104,Psiu, ,10000.000000000000000,103,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
105,Alex, ,10000.000000000000000,104,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
106,Terceira Ponte, ,10000.000000000000000,105,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
107,SESC, ,10000.000000000000000,106,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
