OBJECTID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,mangrove_p
340, ,0.000000000000000,0.000000000000000,Sao Paulo North,Enseada - Bertioga, ,3.000000000000000,4,Right and left,Beach-break,All surfers,-23.839860000000002,-46.123674000000001,10000.000000000000000,339,62831.853071795863798,314159265.358979284763336,10.140424503267500,0.032277973694904
341, ,0.000000000000000,0.000000000000000,Sao Paulo North,Santiago, ,3.500000000000000,2,Right and left,Beach-break,Experienced surfers,-23.819897999999998,-45.541420000000002,10000.000000000000000,340,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
342, ,0.000000000000000,0.000000000000000,Sao Paulo North,Guaecá, ,3.500000000000000,3,Right and left,Beach-break,All surfers,-23.819123000000001,-45.466200000000001,10000.000000000000000,341,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
343, ,0.000000000000000,0.000000000000000,Sao Paulo North,Riviera de São Lourenço, ,3.000000000000000,3,Right and left,Beach-break,All surfers,-23.808668999999998,-46.022072000000001,10000.000000000000000,342,62831.853071795863798,314159265.358979284763336,1.074306908224180,0.003419625096833
344, ,0.000000000000000,0.000000000000000,Sao Paulo North,Paúba, ,4.000000000000000,2,Right and left,Beach-break,Pros or kamikaze only...,-23.802819000000000,-45.553167999999999,10000.000000000000000,343,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
345, ,0.000000000000000,0.000000000000000,Sao Paulo North,Itaguaré, ,3.000000000000000,4,Right and left,Beach-break,All surfers,-23.796026000000001,-45.991173000000003,10000.000000000000000,344,62831.853071795863798,314159265.358979284763336,1.074306908224180,0.003419625096833
346, ,0.000000000000000,0.000000000000000,Sao Paulo North,Maresias, ,3.500000000000000,4,Right and left,Beach-break,All surfers,-23.791530000000002,-45.573456000000000,10000.000000000000000,345,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
347, ,0.000000000000000,0.000000000000000,Sao Paulo North,Camburi, ,3.500000000000000,4,Right and left,Beach-break,All surfers,-23.778825999999999,-45.649137000000003,10000.000000000000000,346,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
348, ,0.000000000000000,0.000000000000000,Sao Paulo North,Baleia, ,3.500000000000000,3,Right and left,Beach-break,All surfers,-23.777600000000000,-45.670217000000001,10000.000000000000000,347,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
349, ,0.000000000000000,0.000000000000000,Sao Paulo North,Guaratuba, ,3.000000000000000,3,Right and left,Beach-break,Experienced surfers,-23.772306000000000,-45.922251000000003,10000.000000000000000,348,62831.853071795863798,314159265.358979284763336,3.556246849749600,0.011319885299853
350, ,0.000000000000000,0.000000000000000,Sao Paulo North,Juquehy,Praia do Juquei,3.000000000000000,4,Right and left,Beach-break,All surfers,-23.768065000000000,-45.738143999999998,10000.000000000000000,349,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
351, ,0.000000000000000,0.000000000000000,Sao Paulo North,Massaguaçu, ,3.500000000000000,2,Right and left,Beach-break,Experienced surfers,-23.590772999999999,-45.334611000000002,10000.000000000000000,350,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
352, ,0.000000000000000,0.000000000000000,Sao Paulo North,Simão, ,3.500000000000000,3,Right,Beach-break,Experienced surfers,-23.585149000000001,-45.238287000000000,10000.000000000000000,351,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
353, ,0.000000000000000,0.000000000000000,Sao Paulo North,Praia do sape, ,3.500000000000000,3,Right and left,Beach-break,All surfers,-23.531963000000001,-45.222301000000002,10000.000000000000000,352,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
354, ,0.000000000000000,0.000000000000000,Sao Paulo North,Lagoinha, ,3.500000000000000,2,Right and left,Beach-break,Beginners wave,-23.521339000000001,-45.205221000000002,10000.000000000000000,353,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
355, ,0.000000000000000,0.000000000000000,Sao Paulo North,Sununga, ,3.500000000000000,3,Right,Beach-break,Pros or kamikaze only...,-23.511344000000001,-45.129432999999999,10000.000000000000000,354,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
356, ,0.000000000000000,0.000000000000000,Sao Paulo North,Toninhas, ,3.000000000000000,2,Right and left,Beach-break,All surfers,-23.484739000000001,-45.073771000000001,10000.000000000000000,355,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
357, ,0.000000000000000,0.000000000000000,Sao Paulo North,Praia Grande (PG), ,3.000000000000000,3,Right and left,Beach-break,All surfers,-23.478835000000000,-45.067290999999997,10000.000000000000000,356,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
358, ,0.000000000000000,0.000000000000000,Sao Paulo North,Praia Grande North,Ponta do Baguari,3.000000000000000,3,Left,Beach-break,All surfers,-23.467497999999999,-45.062055999999998,10000.000000000000000,357,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
