OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Length_1,Shape_Area_1,F2010,SLR_employment_per_capita,F2010_1,F2010_12,F2010_12_13,F2010_12_13_14,F2010_12_13_14_15,F2010_12_13_14_15_16,F2010_12_13_14_15_16_17,F2010_12_13_14_15_16_17_18,F2010_12_13_14_15_16_17_18_19,F2010_12_13_14_15_16_17_18_19_20,F2010_12_13_14_15_16_17_18_19_20_21,F2010_12_13_14_15_16_17_18_19_20_21_22,F2010_12_13_14_15_16_17_18_19_20_21_22_23,F2010_12_13_14_15_16_17_18_19_20_21_22_23_24,F2010_12_13_14_15_16_17_18_19_20_21_22_23_24_25,Shape_Length,Shape_Area
11,2,11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,11,3520301,Iguape,SP,"Sports, recreation and leisure activities",8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,28841.000000000000000,0.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,31415.926535897931899,78539816.339744821190834
12,1,12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,12,3537602,Peruíbe,SP,"Sports, recreation and leisure activities",28.000000000000000,66.000000000000000,0.000000000000000,0.000000000000000,59773.000000000000000,0.001104177471434,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,59773.000000000000000,31415.926535897931899,78539816.339744821190834
13,1,13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,13,3522109,Itanhaém,SP,"Sports, recreation and leisure activities",24.000000000000000,97.000000000000000,0.000000000000000,0.000000000000000,87057.000000000000000,0.001114212527425,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,31415.926535897931899,78539816.339744821190834
14,2,14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,14,3522109,Itanhaém,SP,"Sports, recreation and leisure activities",24.000000000000000,97.000000000000000,0.000000000000000,0.000000000000000,87057.000000000000000,0.001114212527425,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,31415.926535897931899,78539816.339744821190834
15,2,15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,15,3541000,Praia Grande,SP,"Sports, recreation and leisure activities",85.000000000000000,273.000000000000000,0.000000000000000,0.000000000000000,262051.000000000000000,0.001041781943210,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,31415.926535897931899,78539816.339744821190834
16,2,16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,16,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
17,2,17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,17,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
18,2,18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,18,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
19,2,19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,19,3541000,Praia Grande,SP,"Sports, recreation and leisure activities",85.000000000000000,273.000000000000000,0.000000000000000,0.000000000000000,262051.000000000000000,0.001041781943210,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,31415.926535897931899,78539816.339744821190834
20,2,20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,20,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,31415.926535897931899,78539816.339744821190834
