id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
223,0,0.4465112789,0.0339182768,0,0.105660454,0.5860900097,0.8165131313
224,0.351344495,0,0.0422616408,0,0.3980445246,0.7916506604,0.7521583743
225,0,0.5509915642,0.0506050048,0,0.064886838,0.666483407,0.7913444157
226,0.2211740279,0.6087444386,0.0506050048,0,0.3637567241,1.2442801954,0.6104539011
227,0.2098602384,0.4757467649,0.0506050048,0,0.2970416589,1.033253667,0.6765198573
228,0.2524899306,0.607010269,0.0506050048,0,0.4462905331,1.3563957375,0.5753539516
229,0.0176222187,0.4523009337,0.0506050048,0,0.0928409416,0.6133690988,0.8079728822
230,0.0300762538,0.6127372271,0.0506050048,0,0.137013118,0.8304316037,0.7400172463
231,0.0088494623,0.4828660258,0.0506050048,0,0.1544098688,0.6967303617,0.7818750187
232,8.794583e-4,0.6098201661,0.0506050048,0,0.2460422559,0.9073468851,0.7159374225
233,3.445955e-4,0.2535271501,0.0506050048,0,0.2857378579,0.5902146083,0.8152218455
234,0.3737026266,0.6457107614,0.0536205258,0,0.5110577369,1.5840916507,0.5040693205
235,0.3199825098,0.681389901,0.0536205258,0,0.4562164309,1.5112093675,0.5268865358
236,0,0.8202192638,0.0566360469,0,0.02514939,0.9020047007,0.7176098972
237,0.0048879934,0.8554340209,0.0566360469,0,0.3934785742,1.3104366354,0.5897423418
238,0.1834228519,0.7210599031,0.0566360469,0,0.3460384138,1.3071572157,0.5907690278
239,0.0031156797,0.5914111673,0.0566360469,0,0.1482895442,0.7994524381,0.7497158762
240,0,0.3879616106,0.0566360469,0,0.4041740218,0.8487716793,0.7342755292
241,0,0.6073479121,0.0566360469,0,0.3853148394,1.0492987984,0.6714966171
242,0.0018351669,0.5217233191,0.0598289515,0,0.2935287165,0.876916154,0.7254643543
243,0.0010302693,0.6544911555,0.0598289515,0,0.1871247357,0.902475112,0.7174626258
244,0,0.7053907274,0.0630218562,0,0.3997307199,1.1681433035,0.6342900349
245,0.0011373205,0.7413572818,0.0630218562,0,0.3793111202,1.1848275787,0.6290666983
246,0.0012771085,0.6025355217,0.0630218562,0,0.2976754441,0.9645099305,0.6980414201
247,0.0393806685,0.9214401764,0.0630218562,0,0.7140381364,1.7378808375,0.4559226265
248,0.001162257,0.5242043161,0.0630218562,0,0.211591459,0.7999798883,0.7495507476
249,0.0040112234,0.4777309386,0.0630218562,0,0.4500446897,0.9948087079,0.688555799
250,0.0083429971,0.5205563089,0.2240101362,0,0.250893471,1.0038029132,0.6857399882
251,0.0312536227,0.6798409832,0.4382895154,0,0.3859753533,1.5353594746,0.5193258754
252,0,0.4690696248,1,0,0.1731216191,1.6421912439,0.4858801136
253,6.776572e-4,0.4860915131,1,0,0.164499324,1.6512684943,0.483038304
254,0.0429405657,0.6104974797,1,0,0.5259781328,2.1794161782,0.3176914065
255,0,0.380624491,1,0,0.0725225252,1.4531470162,0.5450640834
256,0.0039019387,0.6932866644,1,0,0.1639082954,1.8610968985,0.4173474438
257,0.0048856786,0.5857997586,1,0,0.3722482047,1.9629336419,0.385465472
258,0.0124658832,0.5720038138,1,0,0.2325379078,1.8170076048,0.4311504541
259,0.0169161023,0.6743991591,1,0,0.396117556,2.0874328174,0.3464885854
260,0.0248996194,0.9167955404,1,0,0.3965143016,2.3382094614,0.2679780829
261,0.0261249562,0.7479833658,1,0,0.5376977392,2.3118060612,0.2762441805
