OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state,sci_10km,sci_5km,sci_1km,sci_wo_climate,nm_regiao,sum_10km,hab_10km,normalized_carbon,normalized_cp,climate_added,climate_index
233,232,Sul,Santa Catarina South,Laguna,-28.473973,-48.762646,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina,0.4315987142,0.4732663333,0.4323275955,0.4662125815,Sul,0,0.192669960586,0,0.2738606828,0.2738606828,0.1729550205
2,1,Sul,NA,Ravena,-28.45478,-48.75134,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina,0.3868176706,0.2739184286,0.2517012065,0.4117079794,Sul,0,0.188613552669,0,0.268094913,0.268094913,0.1693136843
234,233,Sul,Santa Catarina South,Cavalinho,-28.419032,-48.744278,3.5,3,Right,Point-break,Experienced surfers,1,3,0,3.5,Santa Catarina,0.393476202,0.2493551425,0.2261260223,0.4325295609,Sul,0,0.156171166342,0,0.2219813723,0.2219813723,0.1401909628
235,234,Sul,Santa Catarina South,Itapirubá,-28.342309,-48.7078,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina,0.4772140241,0.3702860876,0.3449111838,0.5930941582,Sul,0,0.0113701983071,0,0.0161615763,0.0161615763,0.0102067436
236,235,Sul,Santa Catarina South,Itapirubá Norte,-28.336776,-48.70471,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina,0.4761370371,0.3662572294,0.3461960451,0.5911073512,Sul,0,0.0130291316143,0,0.0185195807,0.0185195807,0.0116959267
237,236,Sul,Santa Catarina South,Castelinho,-28.256232,-48.672695,4,4,Right and left,Beach-break,Experienced surfers,2,4,0,4,Santa Catarina,0.2921759421,0.3463838705,0.3552964124,0.3116008187,Sul,0,0.140843398094,0,0.2001945142,0.2001945142,0.1264316073
3,2,Sul,NA,Praia da Vila Imbituba,-28.25247222,-48.66185,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina,0.1644555127,0.2366636235,0.2129161709,0.1517785065,Sul,0,0.140627450147,0,0.1998875663,0.1998875663,0.1262377563
238,237,Sul,Santa Catarina South,Praia da Vila,-28.241149,-48.653877,4,4,Right and left,Sand-bar,Experienced surfers,2,4,0,4,Santa Catarina,0.2847169235,0.3597101459,0.3200865558,0.300827352,Sul,0,0.144571721464,0,0.2054939453,0.2054939453,0.1297784303
4,3,Sul,NA,Praia do Porto Imbituba,-28.220199,-48.663214,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina,0.1909988994,0.2364802651,0.1663766298,0.1709610418,Sul,0,0.177135263249,0,0.2517796962,0.2517796962,0.15900991
239,238,Sul,Santa Catarina South,Ribanceira,-28.191742,-48.661344,3,2,Right and left,Sand-bar,All surfers,2,2,1,3,Santa Catarina,0.390340315,0.3488634405,0.3360329736,0.3963547487,Sul,0,0.239968826699,0,0.3410911931,0.3410911931,0.2154140335
517,516,Sul,Santa Catarina South,Ilha do Batuta,-28.153828,-48.639898,3.5,1,Right,Reef-rocky,Pros or kamikaze only...,1,1,0,3.5,Santa Catarina,0.2690493221,0.3284962722,0.3963825585,0.2337033292,Sul,0,0.268021074304,0,0.3809645997,0.3809645997,0.2405958369
240,239,Sul,Santa Catarina South,Ibiraquera,-28.153732,-48.645895,4,4,Right and left,Point-break,Experienced surfers,2,4,0,4,Santa Catarina,0.3710040357,0.4022315055,0.4871116427,0.3613501836,Sul,0,0.268021074304,0,0.3809645997,0.3809645997,0.2405958369
241,240,Sul,Santa Catarina South,Rosa Sul,-28.135402,-48.642692,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina,0.4467529198,0.4983046478,0.4843614919,0.4468357343,Sul,0,0.29232135232,0,0.4155049645,0.4155049645,0.2624095906
242,241,Sul,Santa Catarina South,Rosa Norte,-28.124375,-48.637676,3.5,2,Right and left,Beach-break,All surfers,2,2,1,3.5,Santa Catarina,0.4572915598,0.5168985955,0.4536545116,0.4493852276,Sul,0,0.319981773147,0,0.4548214294,0.4548214294,0.2872396609
243,242,Sul,Santa Catarina South,Vermelha,-28.114458,-48.635573,3.5,2,Left,Beach-break,Experienced surfers,1,2,0,3.5,Santa Catarina,0.3120100775,0.3639271164,0.3098145584,0.2468193476,Sul,0,0.373703056777,0,0.5311807506,0.5311807506,0.3354639179
244,243,Sul,Santa Catarina South,Ouvidor,-28.105449,-48.635273,2,2,Right and left,Beach-break,Beginners wave,2,2,0,2,Santa Catarina,0.3356799251,0.3690335453,0.352584313,0.2749721957,Sul,0,0.377553220716,0,0.5366533657,0.5366533657,0.3389201142
245,244,Sul,Santa Catarina South,Barrinha,-28.085384,-48.630896,3.5,3,Right and left,Beach-break,NA,2,3,1,3.5,Santa Catarina,0.4683201201,0.5045609992,0.4882116433,0.4739090121,Sul,0,0.292136242436,0,0.4152418497,0.4152418497,0.2622434221
246,245,Sul,Santa Catarina South,Ferrugem,-28.077736,-48.626604,3.5,4,Right and left,Sand-bar,All surfers,2,4,1,3.5,Santa Catarina,0.471254821,0.5147380495,0.4519384518,0.4792238191,Sul,0,0.287873239612,0,0.4091824263,0.4091824263,0.2584166307
247,246,Sul,Santa Catarina South,Praia do Silveira,-28.039069,-48.606863,4,4,Right,Point-break,Pros or kamikaze only...,1,4,0,4,Santa Catarina,0.29714162,0.2501877413,0.2709197674,0.2831223089,Sul,0,0.230999079991,0,0.3283416137,0.3283416137,0.2073621155
248,247,Sul,Santa Catarina South,Garopaba Centro,-28.021577,-48.619448,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Santa Catarina,0.4120624487,0.3693106255,0.2686716072,0.4282159755,Sul,0,0.227846359973,0,0.323860344,0.323860344,0.2045319973
249,248,Sul,Santa Catarina South,Siriu,-27.976249,-48.627999,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina,0.5148932848,0.460224592,0.5232016354,0.5785036462,Sul,0,0.171864881586,0,0.2442883866,0.2442883866,0.1542788198
250,249,Sul,Santa Catarina South,Gamboa,-27.958927,-48.624662,3.5,1,Right and left,Beach-break,All surfers,2,1,1,3.5,Santa Catarina,0.5842738649,0.4965873043,0.4614048015,0.6446201098,Sul,0,0.225777458354,0,0.3209196115,0.3209196115,0.2026747959
251,250,Sul,Santa Catarina South,Guarda do embau,-27.905541,-48.586779,4,3,Left,Rivermouth,Experienced surfers,1,3,0,4,Santa Catarina,0.5322018973,0.5435508959,0.581937528,0.5516437409,Sul,2176.59802437,0.296594974597,0.0019541356,0.4215794824,0.423533618,0.2674800371
252,251,Sul,Santa Catarina South,Costão da Pinheira,-27.881077,-48.586543,3.5,1,Right,Point-break,Experienced surfers,1,1,0,3.5,Santa Catarina,0.5242635504,0.5422608308,0.2822022089,0.5323580049,Sul,31244.7337208,0.302522661283,0.0280513196,0.4300050839,0.4580564035,0.2892826888
5,4,Sul,NA,Ponta da Pinheira,-27.878141,-48.576442,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina,0.4958933804,0.4762826353,0.3404760084,0.498553094,Sul,25301.6056786,0.301821618934,0.0227156177,0.4290086238,0.4517242415,0.285283651
253,252,Sul,Florianopolis,Naufragados,-27.83474,-48.566748,5,3,Right,Beach-break,Pros or kamikaze only...,1,3,0,5,Santa Catarina,0.5647315572,0.475334453,0.5538952408,0.582727655,Sul,32242.7647648,0.302661732424,0.0289473454,0.4302027594,0.4591501048,0.2899734091
254,253,Sul,Santa Catarina South,Solidao - Caladinho,-27.793519,-48.533456,3.5,3,Right,Point-break,Experienced surfers,1,3,0,3.5,Santa Catarina,0.400763095,0.4304106021,0.4475506197,0.3928561588,Sul,6016.09392738,0.279168230186,0.0054012102,0.396809144,0.4022103542,0.2540134617
255,254,Sul,Santa Catarina South,Praia dos Açores,-27.784758,-48.525989,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Santa Catarina,0.5491203526,0.582220616,0.4210210398,0.57911484,Sul,333.875936508,0.281416339177,2.997517e-4,0.4000046014,0.4003043531,0.2528097385
256,255,Sul,Florianopolis,Lagoinha do Leste,-27.773576,-48.486528,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina,0.5423230344,0.5022147177,0.6064644277,0.6034944462,Sul,120.461288452,0.19608752988,1.081494e-4,0.2787184087,0.2788265581,0.1760911884
257,256,Sul,Florianopolis,Matadeiro,-27.75514,-48.498523,3.5,4,Right and left,Beach-break,Experienced surfers,2,4,0,3.5,Santa Catarina,0.4283723427,0.4805768337,0.4096565061,0.4721699671,Sul,4816.94838333,0.16365096806,0.0043246251,0.2326131469,0.236937772,0.1496365846
258,257,Sul,Florianopolis,Armação,-27.741619,-48.508115,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Santa Catarina,0.491591252,0.546256637,0.54711557,0.5369321719,Sul,61979.9353714,0.164931176027,0.0556451846,0.2344328319,0.2900780165,0.1831969773
259,258,Sul,Florianopolis,Caldeirao,-27.72369,-48.504596,3.5,3,Left,Beach-break,Experienced surfers,1,3,0,3.5,Santa Catarina,0.5396069357,0.3604849611,0.3108846615,0.5536020711,Sul,232614.461908,0.170046202244,0.2088397573,0.2417033195,0.4505430768,0.2845376938
260,259,Sul,Florianopolis,Morro das Pedras,-27.715522,-48.502257,3,4,Right and left,Sand-bar,Experienced surfers,2,4,0,3,Santa Catarina,0.6233717927,0.4002974917,0.3156257978,0.6448123773,Sul,287626.808069,0.170801784063,0.2582294854,0.242777302,0.5010067874,0.3164077381
261,260,Sul,Florianopolis,Campeche Rights,-27.693864,-48.482687,4,2,Right,Sand-bar,Experienced surfers,1,2,0,4,Santa Catarina,0.5696653606,0.2916754907,0.1817342424,0.5777213628,Sul,288316.240461,0.169978618454,0.2588484534,0.2416072561,0.5004557095,0.3160597083
262,261,Sul,Florianopolis,Riozinho,-27.685523,-48.479598,5,3,Right and left,Beach-break,Experienced surfers,2,3,0,5,Santa Catarina,0.6760550113,0.4072683456,0.3243709965,0.7102147289,Sul,288316.240461,0.171813173416,0.2588484534,0.2442148887,0.5030633421,0.3177065425
263,262,Sul,Florianopolis,Joaquina,-27.629589,-48.448768,4,4,Left,Sand-bar,Experienced surfers,1,4,0,4,Santa Catarina,0.3615576903,0.2915502257,0.3766292881,0.3412271434,Sul,196582.49107,0.165411912074,0.1764904873,0.2351161491,0.4116066364,0.2599476256
264,263,Sul,Florianopolis,Praia Mole,-27.602476,-48.432584,3.5,3,Right and left,Sand-bar,All surfers,2,3,1,3.5,Santa Catarina,0.4708667764,0.4632286415,0.4292528086,0.5110517338,Sul,44766.6933155,0.175630690548,0.0401912473,0.2496410996,0.2898323469,0.1830418262
265,264,Sul,Florianopolis,Galheta,-27.593482,-48.425224,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina,0.472612654,0.4532099706,0.6097935682,0.5180745012,Sul,22261.022398,0.177277190497,0.0199858017,0.2519814313,0.271967233,0.171759224
266,265,Sul,Florianopolis,Barra da Lagoa,-27.572818,-48.424376,3,3,Right and left,Beach-break,Beginners wave,2,3,0,3,Santa Catarina,0.3934324135,0.3794444153,0.2928554977,0.4134712097,Sul,44715.0096626,0.177308281558,0.0401448461,0.252025624,0.2921704701,0.1845184535
267,266,Sul,Florianopolis,Mocambique,-27.525323,-48.410568,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina,0.5589045961,0.5172968214,0.5364325755,0.6250626739,Sul,38954.2398796,0.169459005776,0.0349728643,0.2408686797,0.275841544,0.1742060212
